workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
cells-at-work,visualSoftness,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cells-at-work/,Cells at Work! 1; mapped Japanese Volume 1 ISBN 9784063765601,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 8; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,internal-body pursuit; lymphatic briefing; bacterium battle,"곡선과 직선, 밝고 어두운 면이 균형을 이루어 부드러움이 중립적이다.",Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
cells-at-work,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cells-at-work/,Cells at Work! 1; mapped Japanese Volume 1 ISBN 9784063765601,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 8; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,internal-body pursuit; lymphatic briefing; bacterium battle,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
xxxholic,artRealism,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/xxxholic-omnibus/,xxxHOLiC Omnibus 1; mapped Japanese Volume 1 ISBN 9784063347524,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 12; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,supernatural chase; shop and ritual; school and street,인체와 사물은 관습적 만화 양식으로 정리되어 있으며 현실 관찰과 도식화가 균형을 이룬다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
xxxholic,artDensity,known,4,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/xxxholic-omnibus/,xxxHOLiC Omnibus 1; mapped Japanese Volume 1 ISBN 9784063347524,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 12; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,supernatural chase; shop and ritual; school and street,세밀한 배경·소품·효과와 복합 구도가 지속되어 시각 정보량이 매우 높다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
xxxholic,visualSoftness,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/xxxholic-omnibus/,xxxHOLiC Omnibus 1; mapped Japanese Volume 1 ISBN 9784063347524,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 12; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,supernatural chase; shop and ritual; school and street,정돈된 곡선과 완만한 명암이 우세해 전반적으로 부드러운 인상을 준다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
xxxholic,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/xxxholic-omnibus/,xxxHOLiC Omnibus 1; mapped Japanese Volume 1 ISBN 9784063347524,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 12; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,supernatural chase; shop and ritual; school and street,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
sailor-moon,artRealism,known,1,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/pretty-guardian-sailor-moon-eternal-edition/,Pretty Guardian Sailor Moon Eternal Edition 1; mapped Japanese Volume 1 ISBN 9784061787216,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,school and home; Luna encounter; transformation and hero scene,인물과 사물은 단순화와 만화적 변형이 강하고 사실적 비례보다 표정과 실루엣 전달을 우선한다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
sailor-moon,artDensity,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/pretty-guardian-sailor-moon-eternal-edition/,Pretty Guardian Sailor Moon Eternal Edition 1; mapped Japanese Volume 1 ISBN 9784061787216,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,school and home; Luna encounter; transformation and hero scene,인물과 핵심 배경 단서가 균형 있게 배치되어 시각 정보량이 중간 수준이다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
sailor-moon,visualSoftness,known,4,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/pretty-guardian-sailor-moon-eternal-edition/,Pretty Guardian Sailor Moon Eternal Edition 1; mapped Japanese Volume 1 ISBN 9784061787216,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,school and home; Luna encounter; transformation and hero scene,둥근 형태·가벼운 선·넓은 밝은 면이 지속되어 매우 부드럽고 공기감 있는 인상을 준다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
sailor-moon,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/pretty-guardian-sailor-moon-eternal-edition/,Pretty Guardian Sailor Moon Eternal Edition 1; mapped Japanese Volume 1 ISBN 9784061787216,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,school and home; Luna encounter; transformation and hero scene,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
showa-genroku-rakugo-shinju,artRealism,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/descending-stories/,Descending Stories 1; mapped Japanese Volume 1 ISBN 9784063805147,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 6; Omoi reader page 13; Omoi reader page 20; Omoi reader page 27; Omoi reader page 34; Omoi reader page 41,6,prison release; home apprenticeship; rakugo performance and practice,인체와 사물은 관습적 만화 양식으로 정리되어 있으며 현실 관찰과 도식화가 균형을 이룬다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
showa-genroku-rakugo-shinju,artDensity,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/descending-stories/,Descending Stories 1; mapped Japanese Volume 1 ISBN 9784063805147,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 6; Omoi reader page 13; Omoi reader page 20; Omoi reader page 27; Omoi reader page 34; Omoi reader page 41,6,prison release; home apprenticeship; rakugo performance and practice,인물과 핵심 배경 단서가 균형 있게 배치되어 시각 정보량이 중간 수준이다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
showa-genroku-rakugo-shinju,visualSoftness,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/descending-stories/,Descending Stories 1; mapped Japanese Volume 1 ISBN 9784063805147,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 6; Omoi reader page 13; Omoi reader page 20; Omoi reader page 27; Omoi reader page 34; Omoi reader page 41,6,prison release; home apprenticeship; rakugo performance and practice,정돈된 곡선과 완만한 명암이 우세해 전반적으로 부드러운 인상을 준다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
showa-genroku-rakugo-shinju,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/descending-stories/,Descending Stories 1; mapped Japanese Volume 1 ISBN 9784063805147,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 6; Omoi reader page 13; Omoi reader page 20; Omoi reader page 27; Omoi reader page 34; Omoi reader page 41,6,prison release; home apprenticeship; rakugo performance and practice,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
wave-listen-to-me,artRealism,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/wave-listen-to-me/,"Wave, Listen to Me! 1; mapped Japanese Volume 1 ISBN 9784063880588",The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 5; Omoi reader page 11; Omoi reader page 16; Omoi reader page 22; Omoi reader page 28; Omoi reader page 34,6,restaurant and home; radio studio; street and car,인체 비례와 주요 사물·공간은 비교적 현실적으로 묘사되며 만화적 과장은 제한적이다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
wave-listen-to-me,artDensity,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/wave-listen-to-me/,"Wave, Listen to Me! 1; mapped Japanese Volume 1 ISBN 9784063880588",The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 5; Omoi reader page 11; Omoi reader page 16; Omoi reader page 22; Omoi reader page 28; Omoi reader page 34,6,restaurant and home; radio studio; street and car,배경·소품·효과선이 여러 층으로 겹쳐 평균보다 높은 시각 정보량을 만든다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
wave-listen-to-me,visualSoftness,known,1,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/wave-listen-to-me/,"Wave, Listen to Me! 1; mapped Japanese Volume 1 ISBN 9784063880588",The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 5; Omoi reader page 11; Omoi reader page 16; Omoi reader page 22; Omoi reader page 28; Omoi reader page 34,6,restaurant and home; radio studio; street and car,각진 선과 강한 흑백 대비가 우세해 화면의 촉감이 단단하고 날카롭다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
wave-listen-to-me,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/wave-listen-to-me/,"Wave, Listen to Me! 1; mapped Japanese Volume 1 ISBN 9784063880588",The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 5; Omoi reader page 11; Omoi reader page 16; Omoi reader page 22; Omoi reader page 28; Omoi reader page 34,6,restaurant and home; radio studio; street and car,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
police-in-a-pod,artRealism,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/police-in-a-pod/,Police in a Pod 1; mapped Japanese Volume 1 ISBN 9784065113226,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 9; Omoi reader page 14; Omoi reader page 19; Omoi reader page 23; Omoi reader page 28,6,station introduction; public interaction; patrol duties,인체와 사물은 관습적 만화 양식으로 정리되어 있으며 현실 관찰과 도식화가 균형을 이룬다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
police-in-a-pod,artDensity,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/police-in-a-pod/,Police in a Pod 1; mapped Japanese Volume 1 ISBN 9784065113226,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 9; Omoi reader page 14; Omoi reader page 19; Omoi reader page 23; Omoi reader page 28,6,station introduction; public interaction; patrol duties,인물과 핵심 배경 단서가 균형 있게 배치되어 시각 정보량이 중간 수준이다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
police-in-a-pod,visualSoftness,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/police-in-a-pod/,Police in a Pod 1; mapped Japanese Volume 1 ISBN 9784065113226,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 9; Omoi reader page 14; Omoi reader page 19; Omoi reader page 23; Omoi reader page 28,6,station introduction; public interaction; patrol duties,정돈된 곡선과 완만한 명암이 우세해 전반적으로 부드러운 인상을 준다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
police-in-a-pod,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/police-in-a-pod/,Police in a Pod 1; mapped Japanese Volume 1 ISBN 9784065113226,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 9; Omoi reader page 14; Omoi reader page 19; Omoi reader page 23; Omoi reader page 28,6,station introduction; public interaction; patrol duties,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
the-fable,artRealism,known,4,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/the-fable/,The Fable Omnibus 1; mapped Japanese Volume 1 ISBN 9784063825633,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 16; Omoi reader page 24; Omoi reader page 33; Omoi reader page 42; Omoi reader page 50,6,weapon preparation and assassination; masked arrival; meeting and restaurant,인체·사물·배경의 구조와 질감이 높은 사실성으로 묘사되어 현실 관찰 비중이 매우 높다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
the-fable,artDensity,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/the-fable/,The Fable Omnibus 1; mapped Japanese Volume 1 ISBN 9784063825633,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 16; Omoi reader page 24; Omoi reader page 33; Omoi reader page 42; Omoi reader page 50,6,weapon preparation and assassination; masked arrival; meeting and restaurant,배경·소품·효과선이 여러 층으로 겹쳐 평균보다 높은 시각 정보량을 만든다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
the-fable,visualSoftness,known,1,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/the-fable/,The Fable Omnibus 1; mapped Japanese Volume 1 ISBN 9784063825633,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 16; Omoi reader page 24; Omoi reader page 33; Omoi reader page 42; Omoi reader page 50,6,weapon preparation and assassination; masked arrival; meeting and restaurant,각진 선과 강한 흑백 대비가 우세해 화면의 촉감이 단단하고 날카롭다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
the-fable,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/the-fable/,The Fable Omnibus 1; mapped Japanese Volume 1 ISBN 9784063825633,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 16; Omoi reader page 24; Omoi reader page 33; Omoi reader page 42; Omoi reader page 50,6,weapon preparation and assassination; masked arrival; meeting and restaurant,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
ace-of-the-diamond,artRealism,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/ace-of-the-diamond/,Ace of the Diamond 1; mapped Japanese Volume 1 ISBN 9784063637281,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 9; Omoi reader page 20; Omoi reader page 30; Omoi reader page 41; Omoi reader page 52; Omoi reader page 63,6,school and baseball field; practice and pitching; coaches and players,인체와 사물은 관습적 만화 양식으로 정리되어 있으며 현실 관찰과 도식화가 균형을 이룬다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
ace-of-the-diamond,artDensity,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/ace-of-the-diamond/,Ace of the Diamond 1; mapped Japanese Volume 1 ISBN 9784063637281,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 9; Omoi reader page 20; Omoi reader page 30; Omoi reader page 41; Omoi reader page 52; Omoi reader page 63,6,school and baseball field; practice and pitching; coaches and players,인물과 핵심 배경 단서가 균형 있게 배치되어 시각 정보량이 중간 수준이다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
ace-of-the-diamond,visualSoftness,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/ace-of-the-diamond/,Ace of the Diamond 1; mapped Japanese Volume 1 ISBN 9784063637281,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 9; Omoi reader page 20; Omoi reader page 30; Omoi reader page 41; Omoi reader page 52; Omoi reader page 63,6,school and baseball field; practice and pitching; coaches and players,"곡선과 직선, 밝고 어두운 면이 균형을 이루어 부드러움이 중립적이다.",Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
ace-of-the-diamond,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/ace-of-the-diamond/,Ace of the Diamond 1; mapped Japanese Volume 1 ISBN 9784063637281,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 9; Omoi reader page 20; Omoi reader page 30; Omoi reader page 41; Omoi reader page 52; Omoi reader page 63,6,school and baseball field; practice and pitching; coaches and players,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
days,artRealism,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/days/,DAYS 1; mapped Japanese Volume 1 ISBN 9784063848984,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 9; Omoi reader page 20; Omoi reader page 31; Omoi reader page 43; Omoi reader page 54; Omoi reader page 65,6,school; confrontation and relationship dialogue; rain and training,인체와 사물은 관습적 만화 양식으로 정리되어 있으며 현실 관찰과 도식화가 균형을 이룬다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
