workId,batchId,batchType,status,selectionReason,methodPolicy,panelPolicy,lastUpdatedAt
work-1cf7a0bb5f55e0d69b27,pilot-001,pilot,frozen,era-1990s;audience-shonen;genre-sports;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-1fc61ddbeb429b4a2c15,pilot-001,pilot,frozen,era-2000s;audience-cross;genre-historical-romance;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-205e576ef057e3aed1ab,pilot-001,pilot,frozen,era-2000s;audience-cross;genre-music-romance;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-222504590507d3ab8093,pilot-001,pilot,frozen,era-2010s;audience-seinen;genre-fantasy;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-268e1fa3599955359969,pilot-001,pilot,frozen,era-2020s;audience-shonen;genre-music-school;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-2f39795212f5ad8db155,pilot-001,pilot,frozen,era-1990s;audience-seinen;genre-action-historical;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-303d0a9d67a606a817af,pilot-001,pilot,frozen,era-1990s;audience-seinen;genre-workplace-art;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-34bba03e2a127ef29cd7,pilot-001,pilot,frozen,era-2010s;audience-cross;genre-mystery-travel;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-3588928ab8f6a2520923,pilot-001,pilot,frozen,era-2020s;audience-cross;genre-later-life-drama;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-37ecced0b2392d7af9b2,pilot-001,pilot,frozen,era-2020s;audience-seinen;genre-social-drama;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-3823ff0766f67c015c53,pilot-001,pilot,frozen,era-2010s;audience-shonen;genre-music;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-39555fe7402dada0d79f,pilot-001,pilot,frozen,era-1990s;audience-shonen;genre-mystery;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-440f93a4e60ef906685b,pilot-001,pilot,frozen,era-1990s;audience-shojo;genre-romance;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-464322afcd10013437b9,pilot-001,pilot,frozen,era-2000s;audience-seinen;genre-historical;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-4a8a22fc766bf9bc4c59,pilot-001,pilot,frozen,era-1990s;audience-cross;genre-historical-romance;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-5e7eef6cc23d9738e034,pilot-001,pilot,frozen,era-2010s;audience-seinen;genre-folklore-mystery;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-61f2b70ee9f8217b3604,pilot-001,pilot,frozen,era-2010s;audience-shonen;genre-agriculture;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-671e3453cf9e1df2ee87,pilot-001,pilot,frozen,era-1980s;audience-seinen;genre-historical;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-76c038b398f4b28b7748,pilot-001,pilot,frozen,era-1990s;audience-cross;genre-fantasy-romance;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-7730845c9cf7ba0cccc8,pilot-001,pilot,frozen,era-2020s;audience-seinen;genre-school-social;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-8716f80d9b988bd0d055,pilot-001,pilot,frozen,era-2010s;audience-seinen;genre-romance;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-98d513b70560f2f96a38,pilot-001,pilot,frozen,era-1970s;audience-shonen;genre-horror;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-9d04c47e7efbbbd8aca6,pilot-001,pilot,frozen,era-2010s;audience-shojo;genre-performing-arts;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-9d5d64262dbc2893acd4,pilot-001,pilot,frozen,era-1970s;audience-cross;genre-gothic;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-a089c0eef91d1213da38,pilot-001,pilot,frozen,era-1980s;audience-shonen;genre-comedy;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-a7a1e0666169f1b2e8c0,pilot-001,pilot,frozen,era-2000s;audience-cross;genre-family-drama;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-ad2b80b81b7bc9b602a3,pilot-001,pilot,frozen,era-1980s;audience-josei;genre-slice-of-life;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-b2c37bdb52e2a78dfd41,pilot-001,pilot,frozen,era-2020s;audience-cross;genre-historical;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-b4b21d2ebe5b8efc84ea,pilot-001,pilot,frozen,era-2000s;audience-seinen;genre-medical;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-c4abbc1b44fa5706bce3,pilot-001,pilot,frozen,era-1990s;audience-cross;genre-historical;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-cdf549d4b1888153e146,pilot-001,pilot,frozen,era-2020s;audience-shonen;genre-occult-action;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-d489f5a2229689aa5115,pilot-001,pilot,frozen,era-2020s;audience-josei;genre-workplace-comedy;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-d7e64b0b5479ca943edd,pilot-001,pilot,frozen,era-2000s;audience-seinen;genre-food-slice-of-life;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-e049c9aaf92ba31da8b0,pilot-001,pilot,frozen,era-2020s;audience-seinen;genre-art-school;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-ebe399258f28460b8f9b,pilot-001,pilot,frozen,era-2000s;audience-cross;genre-school-social;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-ef7106f6a387c9860877,pilot-001,pilot,frozen,era-2010s;audience-seinen;genre-social-drama;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-f391e591282e435a3c1d,pilot-001,pilot,frozen,era-2000s;audience-seinen;genre-horror;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-f50fa290eb4116a7078e,pilot-001,pilot,frozen,era-classic;audience-cross;genre-science-fiction;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-f5f0ee0b0ff16bc146e0,pilot-001,pilot,frozen,era-2000s;audience-shonen;genre-comedy-slice-of-life;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
