position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
11,work-0208a4a29709fc3b0636,こんづくし,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784088940168)",https://tsugimanga.jp/nominate/comics,2026-06-26,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/18381369/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","콘즈쿠시 만화 리뷰 / 여우수인 학교 콘즈쿠시 감상","https://realsound.jp/book/2026/05/post-2391635.html/amp;https://bookmeter.com/search?keyword=こんづくし"
12,work-02410e1ffbf31c2cffc0,九井諒子作品集　竜のかわいい七つの子,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784047284081)",https://www.mangataisho.com/archives/2013.html,2013,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/11914076/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","쿠이 료코 작품집 용의 귀여운 일곱 아이 만화 리뷰 / 용의 귀여운 일곱 아이 감상","https://booklive.jp/review/list/title_id/199875/vol_no/001;https://note.com/kura0151/n/nc6fbfb5c9f16"
13,work-024310b5ca50739aa0e5,ケーキを買いに,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784778320867)",https://www.mangataisho.com/archives/2010.html,2010,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/6063209/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","케이크를 사러 만화 리뷰 / 케이크를 사러 감상","https://bookmeter.com/books/544907;https://www.cafebleu.net/comics/2011/01/post.html"
14,work-027ed39e9d921537ad67,アイドルビーバック！,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784832295285)",https://tsugimanga.jp/winner/2025/comics,2025-09-18,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/17720278/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","아이돌 비 백 만화 리뷰 / 아이돌비백 감상","https://note.com/mizuikewataru/n/n3f4e7b622f2a;https://bookmeter.com/search?keyword=アイドルビーバック"
15,work-02821fe0321a4a15a9e3,みそララ,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784832265806)",https://www.mangataisho.com/archives/2012.html,2012,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/4512625/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","미소 라라 만화 리뷰 / 미소라라 감상","https://reviewne.jp/contents/5875;https://blog.goo.ne.jp/gorimuchu67/e/ff3eecf0dd8e27d341d707c7d3efb499"
16,work-037650a8271f1e898e0f,ディノサン,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784107724212)",https://tsugimanga.jp/winner/2023/comics,2023-08-31,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/16827782/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","디노산 만화 리뷰 / 다이노생츄어리 감상","https://manba.co.jp/topics/39527;https://blog.newcomics.jp/archives/11661117.html"
17,work-03d7687838b304cde377,つるピカハゲ丸,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784091410719)",https://shogakukan-comic.jp/shogakukan-mangasho-archives,1987,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/9319835/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","츠루피카 하게마루 만화 리뷰 / 으랏차차 짠돌이네 감상","https://manga.line.me/book/detail?id=B00060133635;https://mutoblog.com/%E5%90%9B%E3%81%AF%E3%80%8C%E3%81%A4%E3%82%8B%E3%83%94%E3%82%AB%E3%83%8F%E3%82%B2%E4%B8%B8%E3%80%8D%E3%82%92%E7%9F%A5%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B%E3%81%8B%EF%BC%9F%E2%94%80%E2%94%80"
18,work-03dd121b48927ce75496,ささめきこと,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784840119788)",https://www.mangataisho.com/archives/2009.html,2009,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/5212290/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","사사메키 코토 만화 리뷰 / 사사메키코토 감상","https://www.ishiyuri.com/entry/20080123/1201054425;https://bookmeter.com/search?keyword=ささめきこと"
19,work-03f8af97a21564c3601e,今日のユイコさん,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784063878417)",https://www.mangataisho.com/archives/2015.html,2015,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/11842092/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","오늘의 유이코 씨 만화 리뷰 / 오늘의 유이코상 감상","https://www.cmoa.jp/title/customer_review/title_id/59400/?site_kbn=1;https://booklive.jp/review/list/title_id/192142/vol_no/001"
20,work-041184453ad3e16aeb1a,不成仏霊童女,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784821180882)",https://www.mangataisho.com/archives/2008.html,2008,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/10175498/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","불성불령 동녀 만화 리뷰 / 후죠부츠 레이도조 감상","https://booklive.jp/review/list/title_id/8410/vol_no/001;https://renta.papy.co.jp/renta/sc/frm/item/3509/"
21,work-0461079c050fca066c4f,いいんちょ。,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784847036323)",https://www.mangataisho.com/archives/2012.html,2012,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/5619532/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","이인초 만화 리뷰 / いいんちょ 만화 감상","https://www.kinokuniya.co.jp/f/dsg-01-9784847036323;https://bookmeter.com/search?keyword=いいんちょ"
22,work-0493a35083abd57f5a77,すべての人類を破壊する。それらは再生できない。,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784041083536)",https://tsugimanga.jp/winner/2020/comics,2020-08-19,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/15881067/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","모든 인류를 파괴한다 그것들은 재생할 수 없다 만화 리뷰 / 스베테노 진루이 감상","https://manga-trend.com/subetenojinrui-wo-hakaisuru-review-vol1/;https://note.com/suzu1234/n/n45228207eb34"
23,work-04ac6ddcf1c292ee38f9,LIMBO THE KING,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784063809039)",https://tsugimanga.jp/winner/2018/comics,2018-08-23,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/14596002/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","림보 더 킹 만화 리뷰 / LIMBO THE KING 감상","https://bookmeter.com/books/11259669;https://www.cmoa.jp/search/result/?keyword=LIMBO%20THE%20KING"
24,work-04d912698ec64a30c2d7,悪魔を憐れむ歌,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784107719737)",https://tsugimanga.jp/winner/2017/comics,2017-08-23,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/14895420/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","악마를 불쌍히 여기는 노래 만화 리뷰 / 악마를 애처롭게 여기는 노래 감상","https://www.cmoa.jp/title/130028/;https://bookmeter.com/search?keyword=悪魔を憐れむ歌"
25,work-051ce38c242e92ec83d8,タオの城,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784832233041)",https://www.mangataisho.com/archives/2013.html,2013,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/11684923/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","타오의 성 만화 리뷰 / 타오노시로 감상","https://bookmeter.com/search?keyword=タオの城;https://www.cmoa.jp/search/result/?keyword=タオの城"
26,work-053e1e86adbd269cc07a,王子様と灰色の日々,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784063805734)",https://www.mangataisho.com/archives/2013.html,2013,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/11658443/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","왕자님과 회색의 나날 만화 리뷰 / 왕자와 회색의 날들 감상","https://www.cmoa.jp/title/customer_review/title_id/49688/;https://openbook.blog40.fc2.com/blog-entry-670.html"
27,work-057321eada0f5983975e,金色のガッシュ!!,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784091262318)",https://shogakukan-comic.jp/shogakukan-mangasho-archives,2002,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/1342543/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","금색의 갓슈 만화 리뷰 / 갓슈벨 만화 감상","https://reviewne.jp/reviews/26339;https://www.kansou-blog.jp/entry/2015/01/09/234418"
28,work-057e1cf849bf49fc1465,虫と歌 市川春子作品集,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784063106176)",https://www.mangataisho.com/archives/2010.html,2010,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/6219321/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","벌레와 노래 이치카와 하루코 작품집 만화 리뷰 / 벌레와 노래 감상","https://www.cmoa.jp/title/customer_review/title_id/59408/;https://news.honzuki.jp/book/8804/review/89891/"
29,work-05a1239f0ad4637650cd,タワーダンジョン,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784065346976)",https://tsugimanga.jp/winner/2024/comics,2024-08-28,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/17696457/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","타워 던전 만화 리뷰 / 타워던전 감상","https://mangarc.net/towerdungeon/;https://review.rakuten.co.jp/item/1/213310_21214288/1.0/"
30,work-05fd7a8974ddb2e3cbf0,ヒカルの碁,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784087822069)",https://shogakukan-comic.jp/shogakukan-mangasho-archives,1999,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/5969724/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","히카루의 바둑 만화 리뷰 / 고스트 바둑왕 감상","https://reviewne.jp/contents/429/reviews;https://www.cmoa.jp/title/customer_review/title_id/60431/"
31,work-06f744cc857f52984b2d,チャンネルはそのまま！,SOURCE_INFORMATION_UNAVAILABLE,"Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; the existing batch-009 packet has identity and selection evidence only, with all 17 Factor axes and Genre/Theme rows unannotated, so final coverage is Narrative 0/6 and Tone 0/7 and the v3 mandatory coverage cannot be established. No numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection + Rakuten Books product match (ISBN 9784091824509)",https://www.mangataisho.com/archives/2011.html,2011,2026-08-26,"Recheck official entry_1_3 product/synopsis pages plus Rakuten https://books.rakuten.co.jp/rb/5933968/; then collect two independent JP and two Korean-community reviews with bounded observations and rerun Dictionary adjudication.","채널은 그 자리에서 만화 리뷰 / 채널은 그 자리에서 감상","https://naookidoe.hatenablog.com/entry/2024/11/21/185449;https://www.cmoa.jp/search/result/?keyword=チャンネルはそのまま"
