"position","workId","canonicalTitle","blockerCode","blockerDetails","evidenceName","evidenceUrl","evidencePublishedAt","retrievedAt","recheckPath","koreanQueries","japaneseEvidenceUrls"
"15","work-75bb4a5e2f04f1291971","ナナとカオル","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/5901209/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","나나와 카오루|나나와카오루","https://note.com/kazuteru_reverse/n/n8aae07043d46"
"16","work-7926c93b4fef38dd0704","運命の巻戻士","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2023/comics","2023","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/17114798/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","운명의 되감기꾼|운명의 되감기 사","https://koikesan.hatenablog.com/entry/2022/06/16/213418"
"17","work-7b197bf350436d626b4b","ちくたくぼんぼん","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/6199883/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","치쿠타쿠 본본|치쿠타쿠본본","https://booklive.jp/review/list/title_id/173357/vol_no/001"
"18","work-7c638f30f715d60969ae","ぜんぶ壊して地獄で愛して","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/17544046/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","전부 부수고 지옥에서 사랑해줘|전부 부수고 지옥에서 사랑해","https://antaressmangakanso.iiblog.jp/article/500415994.html"
"19","work-7d40d89092e9e0ee4973","パレス・メイヂ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2015/comics","2015","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12324786/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","팔레스 메이지|팰리스 메이지","https://na-inet.jp/weblog/archives/2013/06/post-201.html"
"20","work-7e0e632e10e28480f1d6","まちカドまぞく","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2017/comics","2017","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/13390233/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","옆집 악마소녀|마치카도 마조쿠","https://manba.co.jp/boards/56045/books/1"
"21","work-7e667fcf9c44138386d7","とりかえ・ばや","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12199847/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","토리카에 바야|바꿔치기","https://youcomi.com/chihayafuru/2016/11/09/torikaebaya1/"
"22","work-7ec5c82be5c9a60ef16d","魔男のイチ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/18073404/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","마남의 이치|마남 이치","https://ganbattekakuzoi.hatenablog.com/entry/2025/01/21/081400"
"23","work-7f27142cfed178db5059","アキンボー","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12439725/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","아킨보|아킴보","https://manba.co.jp/topics/26348"
"24","work-8069c29ceb2111cac4f0","のぼさんとカノジョ?","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12127790/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","노보 씨와 그녀?|노보씨와 그녀","https://booklive.jp/review/list/title_id/316054/vol_no/001"
"25","work-8529fc4bf4898210cb2b","幽麗塔","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/11434286/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","유려탑|유령탑","https://booklive.jp/review/list/title_id/208638/vol_no/001"
"26","work-8cc0a12e77a2c168029c","トモちゃんはすごいブス","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/11322219/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","토모짱은 정말 못생겼어|토모짱은 너무 못생겼어","https://www.cmoa.jp/title/71452/"
"27","work-8f5c877d8aea310a2d2f","マネマネにちにち","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/18133182/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","마네마네 니치니치|마네마네 나날","https://momiji-mypace-life.com/2025/03/13/post-15229/"
"28","work-8fc8b770bb4425310ce1","中卒労働者から始める高校生活","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2015/comics","2015","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12271052/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","중졸 노동자부터 시작하는 고교생활|중졸 노동자에서 시작하는 고교생활","https://www.kaizoku-diary.com/entry/chuusotsu-roudousha"
"29","work-90e7fb3bdbfb6d3ebab2","重版出来!","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12199875/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","중판출래|중쇄를 찍자","https://ameblo.jp/terami40/entry-12961256629.html"
"30","work-96aef57fdc450e67d57a","将国のアルタイル","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/5546997/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","장국의 알타이르|장국의 알타이르","https://booklive.jp/review/list/title_id/194327/vol_no/001"
