workId,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath
work-15d6508605fbd4a266fc,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 1/7=0.143 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",KADOKAWA／コミックアライブ — おまかせ精霊 1,https://comic-alive.jp/product/omakase/201216022042.html,2007-01-23,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-18e08fe95968a6537773,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",白泉社 — ニラメッコ 1,https://www.hakusensha.co.jp/comicslist/60421/,2021-06-16,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
work-19b578d0e828242f14f3,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",芳文社／まんがタイム — 恋愛ラボ 작품·권 목록,https://manga-time.com/comics/cart/mru.html,2008-03-07,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
work-1b3afe12c434a9cf7603,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社 — 銀のスプーン 1,https://www.kodansha.co.jp/comic/products/0000044784,2011-02-10,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
work-1b7c4ed54d7761cd242b,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社 — おかめ日和 1,https://www.kodansha.co.jp/comic/products/0000043658,2007-04-13,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
work-1bce95b6c02673e59bcf,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Tone 3/7=0.429 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館／ビッグコミックBROS. — 新黒沢 最強伝説 1,https://bigcomicbros.net/comics/30136/,2013-11-29,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-1d5a3158e78e639f1973,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Tone 2/7=0.286 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社 — カレチ 1,https://www.kodansha.co.jp/comic/products/0000013990,2009-12-22,2026-08-25,Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-1e9c4852863a22bba058,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社 — GREEN WORLDZ 1,https://www.kodansha.co.jp/comic/products/0000019152,2014-05-09,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-1ec3d48e64b228bb8a92,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館eコミックストア 娚の一生 1권,https://e-comi.shogakukan.co.jp/books/091322690000d0000000,2009-03-10,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-238c04ae3a3a61451078,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route-registry checks are exhausted; unchanged promotion coverage fails Theme 0/1, Narrative 1/6, and Tone 3/7. The official entry material supports slice-of-life, pacing, comedy, brightness, and low pressure, but does not supply a legal Theme, three further Narrative anchors, or two further Tone anchors. Unknown was not converted to zero and no adventure/exploration taxonomy leakage was used. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",スクウェア・エニックス公式商品ページ — リューシカ・リューシカ 1,https://magazine.jp.square-enix.com/top/comics/detail/9784757529083/,2010-06-22,2026-08-25,"Reopen only when an exact volumes-1–3 ISBN product exposes a product-linked Gangan Online chapter or edition-bound internal sample, or two new independently authored non-syndicated entry-range reviews repeat the same concrete residual Tone mechanism; review only the named residual cells and rerun the required gates."
work-4b4bbe8c10859c46e726,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社 百舌谷さん逆上する 1권,https://www.kodansha.co.jp/comic/products/0000029330,2008-06-23,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
work-5ad62e6413f67d351f1d,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route-registry checks are exhausted; unchanged promotion coverage fails Theme 0/1, Narrative 2/6, and Tone 2/7. Official volumes 1–3 and bounded reviews establish orchestra activity, reunion, renewed effort, and character focus, but not a legal Theme, two further Narrative anchors, or three further Tone anchors. Music, university identity, and synopsis silence were not converted to Theme or numeric values. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",少年画報社公式商品ページ — 天にひびき 1,https://www.shonengahosha.co.jp/book_Info.php?id=6719,2009-12-28,2026-08-25,"Reopen if official products 6719, 6369, or 6619 gain a title-, creator-, volume-, and edition-matched trial/topic preview, or two new independent entry-range reviews repeat one concrete residual Tone mechanism; retain unknown on silence and rerun Theme, Narrative, and Tone gates."
work-62fb5d8e9f6c6bbbeba9,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route-registry checks are exhausted; unchanged promotion coverage fails Narrative 2/6 and Tone 3/7. The bounded material establishes combat, horror, darkness, and intermittent comedy but not two further Narrative anchors or two further Tone anchors. The official KADOKAWA product reports no trial and does not link an exact BOOK WALKER edition. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",KADOKAWA公式商品ページ — 血潜り林檎と金魚鉢男 1,https://www.kadokawa.co.jp/product/201108000200/,2011-10-15,2026-08-25,"Reopen if the exact frozen edition gains a KADOKAWA-product-linked BOOK WALKER sample route, or two new independent entry-range reviews repeat one concrete residual Tone mechanism; review only residual cells, rerun Narrative and Tone gates."
work-6c6341781c12b590864f,SOURCE_INFORMATION_UNAVAILABLE,"Exact Shogakukan volumes 1–3 product and reader routes, the official Manga Taisho volume-1 commentary, and the enumerated independent review systems are exhausted; unchanged promotion coverage passes Genre 1/1 and Theme 1/1 but fails Narrative 2/6 and Tone 3/7. The available entry evidence directly supports progression, pacing, character change, recurring relationships, warmth, and school life but does not responsibly establish two additional Narrative and two additional Tone cells. Syndicated reviews were not double-counted, whole-series commentary was not treated as entry-bounded, synopsis silence was not converted to known zero. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館eコミックストア — 鉄楽レトラ 1,https://e-comi.shogakukan.co.jp/books/091234450000d0000000,2011-10-12,2026-08-25,"Reopen only if an exact Shogakukan volumes-1–3 route exposes materially expanded or complete readable entry pages, an official editor/author/award packet directly documents repeated residual Narrative and Tone mechanisms across the entry range, or at least two newly available non-syndicated independently authored reviews with explicit volume-1–3 boundaries repeat the same concrete residual mechanism. Recheck only problemSolving, strategy, mysteryReveal, worldBuilding, comedy, darkness, mentalStress, and romance; retain unknown on silence, then rerun the required gates and independent adjudication."
work-79c18b26dfde8a532f73,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Tone 2/7=0.286 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館コミック デストロ２４６ １,https://shogakukan-comic.jp/book?isbn=9784091573254,2012-10-19,2026-08-25,Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-7b6eb2b48ac06ffa26eb,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館コミック 夢の雫、黄金の鳥籠 １,https://shogakukan-comic.jp/book?isbn=9784091340108,2011-09-09,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
work-8037856e7703fdaf4324,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Tone 2/7=0.286 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",KADOKAWA 日常 １,https://www.kadokawa.co.jp/product/200879000105/,2007-07-24,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-88cb26a0229ad7b83263,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館コミック ひらやすみ １,https://shogakukan-comic.jp/book?isbn=9784098611188,2021-09-10,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-8ff141505b0a27f8d630,SOURCE_INFORMATION_UNAVAILABLE,"Exact Shogakukan WOMBS volumes 1–3 products and the title/JDCN-bound volume-3 reader, the publisher award article, licensed Kinokuniya products, independent Cmoa/DokushoMeter routes, and the honto/BookLive/Sony review provenance were rechecked on 2026-08-25. The exposed volume-3 body pages directly repeat suicidal war pressure, transplant-driven loss of control, and madness, while the products and reviews repeat combat, bodily/reproductive stakes, motherhood, and already-known relationship/character material. They do not directly establish intermittent comedy, a recurring romance subplot, or bonds/care/healing/warmth as reward. Bklog-syndicated passages were counted as one provenance family; broad series remarks, chapter titles, genre labels, source silence, and averages were not converted into values. Unchanged coverage passes Genre 2/1, Theme 2/1, and Narrative 5/6 but fails Tone 4/7 by one cell. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館 eコミックストア — WOMBS 3 / edition-bound reader,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091885830000d0000000,2015-06-26,2026-08-25,"Reopen only if an exact Shogakukan volumes-1–3 product/reader exposes materially expanded readable body pages beyond the currently checked volume-3 opening, an official editor/author/award source directly documents one repeated residual Tone mechanism within volumes 1–3, or at least two newly available non-syndicated independently authored reviews with explicit volume-1–3 boundaries repeat the same concrete residual mechanism. Recheck only comedy, romance, and emotionalWarmth; require direct Dictionary-anchor support, retain unknown on silence, then rerun the required gates and independent adjudication."
work-982bb79e03193ebbafcd,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",集英社 ママはテンパリスト １,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-782188-8,2008-10-17,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-9e98119539f60465ce66,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",少年画報社 僕らはみんな河合荘 ３,https://www.shonengahosha.co.jp/book_Info.php?id=7102,2012-08-30,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-aa6018249b7fe7e92d95,SOURCE_INFORMATION_UNAVAILABLE,"Current promotion coverage passes Genre 1/1, Theme 1/1, and Tone 6/7 but fails Narrative 0/6. Official BookLive upper/lower descriptions and trials, Comic Natalie edition/history records, Maruzen original-volume metadata, official Manga Taisho commentary, and the enumerated eligible independent review routes were re-opened and exhausted. They do not responsibly establish four Narrative axes. The six readable BookLive lower BODY pages remain rejected because the lower new edition expressly contains added material and no official record maps manifest chapter baggage22 to original volumes 1–3; the round-3 packet also declared a stale prior-adjudication hash, whose actual canonical value is 4bfc8cad06750e19d32f41ff58e4e1f9e0229fc9ddf5c0db301ad0c45d9e1018. Unknown cells were not converted to zero, and the decision is not based on time or priority. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",BookLive — かよちゃんの荷物 新装版 下 (licensed Takeshobo description and trial),https://booklive.jp/product/index/title_id/439092/vol_no/002,2017-04-27,2026-08-25,"Reopen only if (a) an official publisher/rightsholder/licensed chapter concordance maps baggage22 to exact overlapping content in original volumes 1–3, or an original-volume-1–3 internal preview supplies at least six readable BODY pages across two contexts; or (b) direct original-entry official content makes at least four Narrative axes responsibly known, or at least two newly available non-syndicated independently authored reviews with explicit original-volumes-1–3 boundaries repeat each proposed residual Narrative mechanism. Retain unknown on silence. Recompute the required gates before reconsidering promotion."
work-ab9331f7fed1990f7dc6,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",集英社 脳内ポイズンベリー １,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08865626865626315501&rf=ak,2011-05-19,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-c50ea94bb66f72c679a2,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館コミック・機械仕掛けの愛 1,https://shogakukan-comic.jp/book?isbn=9784091846440,2013-10-25,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
