position,workId,canonicalTitle,narrativeKnown,toneKnown,artKnown,genreCount,themeCount,outcome,blockerCode,blockerDetails
15,work-2df743e085adef5e9bd3,キルアオ,3,6,3,3,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6; the assassin-school premise and action-comedy material do not establish an additional progression, strategy, or mystery anchor. Unknown was not converted to zero and optional Art was not treated as a blocker."
16,work-2f1d1c3ad0f943f1562f,尾守つみきと奇日常。,2,5,3,3,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volume and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; school interactions and gradual recognition do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
17,work-3713ab561de583d709bc,アリスと蔵六,4,5,3,2,1,recommendationVerified,,
18,work-39c1a2b6791238827ed5,とろける鉄工所,4,5,3,1,2,recommendationVerified,,
19,work-3ad85a2ffdc026007d61,新しい上司はど天然,1,5,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official release and volume routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; workplace healing and recurring interactions do not establish three additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
20,work-44d0000353478596369e,環と周,4,5,3,2,2,recommendationVerified,,
21,work-53fb816835ab36e40a1f,アンデッドアンラック,4,5,3,2,1,recommendationVerified,,
22,work-62fbc6b2253b895e3a66,俺物語！！,1,5,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; the romantic-comedy relationship arc does not establish three additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
23,work-634f34830600e07d8f17,お茶にごす。,2,5,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volume routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; recurring school incidents and reform intent do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
24,work-65f856a6fa2078f21d2f,黒月のイェルクナハト,4,5,3,3,1,recommendationVerified,,
25,work-741deb03d9f59e723929,ルックバック,2,5,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,The complete one-volume official product and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; filmmaking and grief material do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
26,work-7c8931bc010e2f28f7ec,夢中さ、きみに。,0,1,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,The complete official product and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 0/6 and Tone 1/7; the vignette structure does not establish four Narrative and four additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
27,work-7d4568dcc8e9175d35ba,異世界おじさん,3,5,0,3,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6; the isekai recollection and comedy material do not establish one additional problem-solving, strategy, or mystery anchor. Unknown was not converted to zero and optional Art was not treated as a blocker."
28,work-7f0f63c5d80083f2be7f,思い、思われ、ふり、ふられ,2,5,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the four-person romance structure does not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
29,work-80a2f62ce5073ade2ec2,式の前日,1,1,3,1,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,The complete official product and independent Japanese and Korean-title community routes were exhausted. Coverage remains Narrative 1/6 and Tone 1/7 with no supported Theme; the short-story collection does not establish the additional recurring anchors required by the promotion gate. Unknown was not converted to zero and optional Art was not treated as a blocker.
30,work-8733067e6afcaeadbd8d,さんすくみ,2,6,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the three-family comedy premise does not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
31,work-925f371723beac5227f7,邪神の弁当屋さん,3,3,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and editorial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6 and Tone 3/7; the bento-shop routine and war responsibility do not establish one additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
32,work-961a49798df191311f42,働かないふたり,1,3,0,2,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and serial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 3/7 with no supported Theme; the loose sibling routine does not establish three additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
33,work-9bd00739b995d84e2494,あした死ぬには、,1,6,0,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and episode routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; health, work, and life transitions do not establish three additional Narrative process anchors. Unknown was not converted to zero and optional Art was not treated as a blocker."
34,work-a3d922576a1a1ecc8e3e,ドカ食いダイスキ！ もちづきさん,1,1,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and serial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 1/7; repeated overeating comedy and health consequences do not establish three additional Narrative and four additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
35,work-aa85b65d02f367e76a07,ディグイット,2,3,0,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 3/7; volleyball role conflict and training do not establish two additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
36,work-af3443bab1c30d470a76,坂本ですが?,2,2,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volume 1 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 2/7; the repeated school incidents and reactions establish comedy but not two additional Narrative or three additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
37,work-bd5c323a3dbc9f3a04d4,来世は他人がいい,2,6,0,1,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volume 1–3 and Comic DAYS routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Theme 0, Narrative 2/6, and Tone 6/7; yakuza-family tension and the romance premise do not establish a legal Theme or two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker."
38,work-c2df32661c0b925ff74f,カラオケ行こ！,1,5,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"The complete one-volume official and authorized-reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; lessons, contest danger, and the airport event do not establish three recurring Narrative anchors under the Dictionary. Unknown was not converted to zero and optional Art was not treated as a blocker."
39,work-c2f3864045578cebb590,となりの猫と恋知らず,1,4,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official first-episode and publisher routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 4/7; shy school interactions and gradual recognition do not establish three Narrative anchors or one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker.
40,work-c5c2695ad33fd05af945,カッコウの許嫁,1,5,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; the opening birth-switch premise and romantic comedy structure do not establish three additional recurring Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
41,work-c7280f9dcc2754d3f864,鵺の陰陽師,4,5,3,2,2,recommendationVerified,,
42,work-d63a83030a8819ff553c,モテキ,1,5,3,1,0,promotionBlocked,FACTOR_MODEL_INCOMPATIBLE;SOURCE_INFORMATION_UNAVAILABLE,"The frozen promotion contract requires at least one Dictionary Theme, but the exhausted official volume 1–3 entry review establishes central romance and relationship material only, represented by Genre romance and Axis romance rather than any of the 22 Theme IDs. workplace is only a setting and every existing Theme ID is unsupported. Adding a weak Theme would fill a quota, so the current Factor Dictionary cannot model this work responsibly while satisfying Theme 1/1. | The bounded official-first volume 1–3 route and eligible entry-review recovery are exhausted. Narrative remains 1/6=0.167 below 0.600: only pacing is known, while progression, problemSolving, strategy, mysteryReveal, and worldBuilding remain unknown. The inspected material does not affirm any additional 0/2/4 anchor, so usable Factor evidence for the required +3 Narrative cells is unavailable. Unknown is not a low value and no value was filled to meet a quota."
43,work-d8a87d01c1f35d58e791,八雲さんは餌づけがしたい。,4,5,3,1,2,recommendationVerified,,
44,work-e2f095e08fc5e08d5a2b,高嶺と花,4,5,3,2,1,recommendationVerified,,
45,work-e81955a9fc5c4d84580f,ここは今から倫理です。,2,5,3,1,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; recurring student cases and teacher dialogue establish the known problem-solving and pacing cells but not two additional progression, strategy, mystery, or world-system anchors. Unknown was not converted to zero and optional Art was not treated as a blocker."
46,work-eef84d07d90ba2b040cf,さよなら絵梨,2,4,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"The complete one-shot official product and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 4/7; filmmaking, grief, and formal ambiguity are already represented by the known cells and do not establish two additional Narrative or one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker."
47,work-f8cb26831612e0c6ece5,極楽街,4,5,3,3,2,recommendationVerified,,
48,work-fc53cb5669aa4099ee4a,アオハライド,2,5,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; identity, reunion, romance, and leadership-training material do not establish two additional problem-solving, strategy, mystery, or world-system anchors. Unknown was not converted to zero and optional Art was not treated as a blocker."
49,work-fd2a957c501c36047ed0,青の祓魔師,4,5,3,2,2,recommendationVerified,,
50,work-ff9b025f58d7e12f3cb1,LOVE SO LIFE,1,4,0,1,3,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 product and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 4/7; childcare incidents and warm care responses do not establish three additional Narrative or one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker.
