workId,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath
work-2c4fe00df5255fc082f9,SOURCE_INFORMATION_UNAVAILABLE,Official episode and publisher routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6 and Tone 3/7; strategy alone does not establish one additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,HERO'S Web ヒーローカンパニー,https://viewer.heros-web.com/episode/10834108156657187802,2020-08-07,2026-08-26,Reopen only if direct entry-range evidence establishes at least one Narrative and two Tone cells.
work-2df743e085adef5e9bd3,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6; the assassin-school premise and action-comedy material do not establish an additional progression, strategy, or mystery anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",集英社 キルアオ 第1巻,https://www.s-manga.net/items/contents.html?isbn=978-4-08-883686-7,2023-09-04,2026-08-26,Reopen only if direct entry-range evidence establishes at least one remaining Narrative cell.
work-2f1d1c3ad0f943f1562f,SOURCE_INFORMATION_UNAVAILABLE,Official volume and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; school interactions and gradual recognition do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,小学館 尾守つみきと奇日常。 第1巻,https://e-comi.shogakukan.co.jp/books/098531820000d0000000,2024-03-18,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative cells.
work-3ad85a2ffdc026007d61,SOURCE_INFORMATION_UNAVAILABLE,Official release and volume routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; workplace healing and recurring interactions do not establish three additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,秋田書店 新しい上司はど天然 公式リリース,https://prtimes.jp/main/html/rd/p/000000029.000040601.html,2019-08-20,2026-08-26,Reopen only if direct entry-range evidence establishes at least three remaining Narrative cells.
work-62fbc6b2253b895e3a66,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; the romantic-comedy relationship arc does not establish three additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,集英社 俺物語！！ 第1巻,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-846756-6,2012-03-23,2026-08-26,Reopen only if direct entry-range evidence establishes at least three remaining Narrative cells.
work-634f34830600e07d8f17,SOURCE_INFORMATION_UNAVAILABLE,Official volume routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; recurring school incidents and reform intent do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,小学館 お茶にごす。 第1巻,https://e-comi.shogakukan.co.jp/books/091211680000d0000000,2014-08-25,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative cells.
work-741deb03d9f59e723929,SOURCE_INFORMATION_UNAVAILABLE,The complete one-volume official product and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; filmmaking and grief material do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,集英社 ルックバック,https://www.shueisha.co.jp/books/items/contents_amp.html?jdcn=08X10000000016342800,2021-09-03,2026-08-26,Reopen only if new complete-work evidence establishes at least two remaining Narrative cells.
work-7c8931bc010e2f28f7ec,SOURCE_INFORMATION_UNAVAILABLE,The complete official product and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 0/6 and Tone 1/7; the vignette structure does not establish four Narrative and four additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,KADOKAWA 夢中さ、きみに。,https://www.kadokawa.co.jp/product/321904000716/,2019-08-10,2026-08-26,Reopen only if complete-work evidence establishes at least four Narrative and four Tone cells.
work-7d4568dcc8e9175d35ba,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6; the isekai recollection and comedy material do not establish one additional problem-solving, strategy, or mystery anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",KADOKAWA 異世界おじさん 第1巻,https://www.kadokawa.co.jp/product/321808000769/,2018-11-21,2026-08-26,Reopen only if direct entry-range evidence establishes at least one remaining Narrative cell.
work-7f0f63c5d80083f2be7f,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the four-person romance structure does not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,集英社 思い、思われ、ふり、ふられ 第1巻,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-845467-2,2015-10-13,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative cells.
work-80a2f62ce5073ade2ec2,SOURCE_INFORMATION_UNAVAILABLE,The complete official product and independent Japanese and Korean-title community routes were exhausted. Coverage remains Narrative 1/6 and Tone 1/7 with no supported Theme; the short-story collection does not establish the additional recurring anchors required by the promotion gate. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,小学館 式の前日,https://shogakukan-comic.jp/book?jdcn=091345850000d0000000,2013-01-01,2026-08-26,Reopen only if complete-work evidence establishes the missing coverage and a supported Theme.
work-8733067e6afcaeadbd8d,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the three-family comedy premise does not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,小学館 さんすくみ 第1巻,https://shogakukan-comic.jp/book?jdcn=091334600000d0000000,2013-01-01,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative cells.
work-925f371723beac5227f7,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and editorial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6 and Tone 3/7; the bento-shop routine and war responsibility do not establish one additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,講談社 邪神の弁当屋さん 第1巻,https://www.kodansha.co.jp/comic/products/0000404585,2025-01-20,2026-08-26,Reopen only if direct entry-range evidence establishes at least one Narrative and two Tone cells.
work-961a49798df191311f42,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and serial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 3/7 with no supported Theme; the loose sibling routine does not establish three additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,新潮社 働かないふたり 第1巻,https://www.shinchosha.co.jp/book/771744/,2014-05-09,2026-08-26,Reopen only if direct entry-range evidence establishes the missing coverage and a supported Theme.
work-9bd00739b995d84e2494,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and episode routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; health, work, and life transitions do not establish three additional Narrative process anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",太田出版 あした死ぬには 第1巻,https://www.ohtabooks.com/publish/2019/06/12000000.html,2019-06-12,2026-08-26,Reopen only if direct entry-range evidence establishes at least three remaining Narrative cells.
work-a3d922576a1a1ecc8e3e,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and serial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 1/7; repeated overeating comedy and health consequences do not establish three additional Narrative and four additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,白泉社 ドカ食いダイスキ！ もちづきさん 第1巻,https://www.hakusensha.co.jp/comicslist/72311/,2024-10-29,2026-08-26,Reopen only if direct entry-range evidence establishes at least three Narrative and four Tone cells.
work-aa85b65d02f367e76a07,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 3/7; volleyball role conflict and training do not establish two additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,講談社 ディグイット 第1巻,https://www.kodansha.co.jp/comic/products/0000413972,2025-08-22,2026-08-26,Reopen only if direct entry-range evidence establishes at least two Narrative and two Tone cells.
work-af3443bab1c30d470a76,SOURCE_INFORMATION_UNAVAILABLE,Official volume 1 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 2/7; the repeated school incidents and reactions establish comedy but not two additional Narrative or three additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,KADOKAWA 坂本ですが? 1권 상품 페이지,https://www.kadokawa.co.jp/product/201211000248,2013-01-15,2026-08-25,Reopen only if new direct volume 1–3 evidence establishes at least two remaining Narrative and three remaining Tone cells.
work-bd5c323a3dbc9f3a04d4,SOURCE_INFORMATION_UNAVAILABLE,"Official volume 1–3 and Comic DAYS routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Theme 0, Narrative 2/6, and Tone 6/7; yakuza-family tension and the romance premise do not establish a legal Theme or two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",講談社 来世は他人がいい 1권 상품 페이지,https://www.kodansha.co.jp/comic/products/0000052167,2017-11-22,2026-08-25,Reopen only if direct entry-range evidence establishes a Dictionary Theme and at least two remaining Narrative cells.
work-c2df32661c0b925ff74f,SOURCE_INFORMATION_UNAVAILABLE,"The complete one-volume official and authorized-reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; lessons, contest danger, and the airport event do not establish three recurring Narrative anchors under the Dictionary. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",KADOKAWA カラオケ行こ！ 상품 페이지,https://www.kadokawa.co.jp/product/322002001211/,2020-09-12,2026-08-25,Reopen only if new complete-work evidence establishes at least three remaining Narrative cells.
work-c2f3864045578cebb590,SOURCE_INFORMATION_UNAVAILABLE,Official first-episode and publisher routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 4/7; shy school interactions and gradual recognition do not establish three Narrative anchors or one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,スクウェア・エニックス となりの猫と恋知らず 1권 상품 페이지,https://magazine.jp.square-enix.com/top/comics/detail/9784757591264/,2024-03-25,2026-08-25,Reopen only if new direct volume 1–3 evidence establishes at least three remaining Narrative and one remaining Tone cell.
work-c5c2695ad33fd05af945,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; the opening birth-switch premise and romantic comedy structure do not establish three additional recurring Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,講談社 カッコウの許嫁 1권 상품 페이지,https://www.kodansha.co.jp/comic/products/0000341183,2020-05-15,2026-08-25,Reopen only if new direct volume 1–3 evidence establishes at least three remaining Narrative cells.
work-d63a83030a8819ff553c,FACTOR_MODEL_INCOMPATIBLE,"The frozen promotion contract requires at least one Dictionary Theme, but the exhausted official volume 1–3 entry review establishes central romance and relationship material only, represented by Genre romance and Axis romance rather than any of the 22 Theme IDs. workplace is only a setting and every existing Theme ID is unsupported. Adding a weak Theme would fill a quota, so the current Factor Dictionary cannot model this work responsibly while satisfying Theme 1/1. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",講談社 モテキ 1巻 公式商品ページ・試し読み,https://www.kodansha.co.jp/comic/products/0000038652,2009-03-23,2026-08-25,"Recheck only if the Factor Dictionary or mandatory non-empty Theme promotion gate changes, or if new direct official volume 1–3 evidence establishes an existing Theme at centrality 1 or 2."
work-d63a83030a8819ff553c,SOURCE_INFORMATION_UNAVAILABLE,"The bounded official-first volume 1–3 route and eligible entry-review recovery are exhausted. Narrative remains 1/6=0.167 below 0.600: only pacing is known, while progression, problemSolving, strategy, mysteryReveal, and worldBuilding remain unknown. The inspected material does not affirm any additional 0/2/4 anchor, so usable Factor evidence for the required +3 Narrative cells is unavailable. Unknown is not a low value and no value was filled to meet a quota. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",講談社 モテキ 1巻 公式商品ページ・試し読み,https://www.kodansha.co.jp/comic/products/0000038652,2009-03-23,2026-08-25,"Provide new direct volume 1–3 evidence that truthfully establishes at least three of progression, problemSolving, strategy, mysteryReveal, and worldBuilding; otherwise recheck only if the frozen Narrative coverage contract changes."
work-e81955a9fc5c4d84580f,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; recurring student cases and teacher dialogue establish the known problem-solving and pacing cells but not two additional progression, strategy, mystery, or world-system anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",集英社公式商品ページ・ヤングジャンプコミックス第1巻,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-890791-8,2017-11-22,2026-08-25,Reopen only if new direct entry-range evidence establishes at least two remaining Narrative cells.
work-eef84d07d90ba2b040cf,SOURCE_INFORMATION_UNAVAILABLE,"The complete one-shot official product and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 4/7; filmmaking, grief, and formal ambiguity are already represented by the known cells and do not establish two additional Narrative or one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",集英社公式商品ページ・ジャンプコミックス単行本,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-883167-1,2022-07-04,2026-08-25,Reopen only if new complete-work evidence establishes at least two remaining Narrative and one remaining Tone cell.
work-fc53cb5669aa4099ee4a,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; identity, reunion, romance, and leadership-training material do not establish two additional problem-solving, strategy, mystery, or world-system anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",集英社公式商品ページ・マーガレットコミックス第1巻,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-846647-7,2011-04-13,2026-08-25,Reopen only if new direct volume 1–3 evidence establishes at least two remaining Narrative cells.
work-ff9b025f58d7e12f3cb1,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 product and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 4/7; childcare incidents and warm care responses do not establish three additional Narrative or one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,白泉社公式商品ページ・花とゆめコミックス第1巻,https://www.hakusensha.co.jp/comicslist/44745/,2009-05-19,2026-08-25,Reopen only if new direct volume 1–3 evidence establishes at least three remaining Narrative and one remaining Tone cell.
