workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
blue-box,discovery,,26,,
the-darwin-incident,discovery,,11,,
requiem-of-the-rose-king,discovery,,17,,
i-think-our-son-is-gay,discovery,,5,,
fruits-basket,anchor,,23,,
inuyasha,anchor,,56,,
space-brothers,anchor,,46,,
blue-giant,bridge,,10,,
blue-period,bridge,,19,,
the-apothecary-diaries,bridge,,17,,
dorohedoro,bridge,,23,,
sweat-and-soap,discovery,,11,,
a-condition-called-love,discovery,,16,,
she-loves-to-cook-and-she-loves-to-eat,discovery,,6,,
my-brothers-husband,discovery,,4,,
our-dreams-at-dusk,discovery,,4,,
nina-the-starry-bride,discovery,,19,,
baby-steps,discovery,,47,,
capeta,discovery,,32,,
yowamushi-pedal,discovery,,100,,
moon-land,discovery,,9,,
giant-killing,discovery,,70,,
dragon-head,discovery,,10,,
kasane,discovery,,14,,
homunculus,discovery,,15,,
fort-of-apocalypse,discovery,,10,,
a-brides-story,discovery,,15,,
isabella-bird-in-wonderland,discovery,,13,,
arte,discovery,,22,,
thermae-romae,discovery,,6,,
knights-of-sidonia,discovery,,15,,
saturn-apartments,discovery,,7,,
origin,discovery,,10,,
accomplishments-of-the-dukes-daughter,discovery,,8,,
the-heroic-legend-of-arslan,discovery,,24,,
cardcaptor-sakura,anchor,,12,,
initial-d,anchor,,48,,
cells-at-work,bridge,,6,,
xxxholic,bridge,,19,,
sailor-moon,bridge,,18,,
showa-genroku-rakugo-shinju,discovery,,10,,
wave-listen-to-me,discovery,,12,,
police-in-a-pod,discovery,,23,,
the-fable,discovery,,22,,
ace-of-the-diamond,discovery,,47,,
days,discovery,,42,,
all-rounder-meguru,discovery,,19,,
perfect-world,discovery,,12,,
tokyo-tarareba-girls,discovery,,9,,
flying-witch,discovery,,15,,
witchcraft-works,discovery,,17,,
my-home-hero,discovery,,26,,
beck,discovery,,34,,
gto,discovery,,25,,
tomorrows-joe,discovery,,20,,
parasyte,discovery,,10,,
princess-jellyfish,discovery,,17,,
life-lessons-with-uramichi-oniisan,discovery,,12,,
shangri-la-frontier,discovery,,27,,
rent-a-girlfriend,discovery,,46,,
inuyashiki,discovery,,10,,
island-in-a-puddle,discovery,,5,,
mf-ghost,discovery,,23,,
my-dearest-self-with-malice-aforethought,discovery,,11,,
the-golden-sheep,discovery,,3,,
