candidateId,canonicalTitleJa,titleKana,creatorsJa,firstPublishedYear,originCountry,format,publicationStatus,notes
candidate-01b06bd4f3e359d221dc,白銀妃,,睦月 のぞみ,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-01b06bd4f3e359d221dc; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-01f5afe5dcc86cc7b664,昔話のできるまで,,山田穣,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-01f5afe5dcc86cc7b664; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-01f973f0b71593c23a68,きんぼし,,明石英之,2008,unknown,unknown,unknown,Library-only candidate; opaque workId=work-01f973f0b71593c23a68; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0208a4a29709fc3b0636,こんづくし,,森長 あやみ,2025,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0208a4a29709fc3b0636; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-02410e1ffbf31c2cffc0,九井諒子作品集　竜のかわいい七つの子,,九井 諒子,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-02410e1ffbf31c2cffc0; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-024310b5ca50739aa0e5,ケーキを買いに,,河内遙,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-024310b5ca50739aa0e5; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-025c8ab93483a39c9330,ホストと社畜,,河尻みつる,2024,unknown,unknown,unknown,Library-only candidate; opaque workId=work-025c8ab93483a39c9330; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0262dcaa820443c3185d,ゴルゴ13,,さいとうたかを,1968,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0262dcaa820443c3185d; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-027ed39e9d921537ad67,アイドルビーバック！,,はんざわかおり,2024,unknown,unknown,unknown,Library-only candidate; opaque workId=work-027ed39e9d921537ad67; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-02821fe0321a4a15a9e3,みそララ,,宮原るり,2007,unknown,unknown,unknown,Library-only candidate; opaque workId=work-02821fe0321a4a15a9e3; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-02d5d329c9ef85e481cb,のたり松太郎,,ちばてつや,1973,unknown,unknown,unknown,Library-only candidate; opaque workId=work-02d5d329c9ef85e481cb; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-037650a8271f1e898e0f,ディノサン,,木下 いたる;藤原 慎一,2021,unknown,unknown,unknown,Library-only candidate; opaque workId=work-037650a8271f1e898e0f; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-03d7687838b304cde377,つるピカハゲ丸,,のむら しんぼ,1986,unknown,unknown,unknown,Library-only candidate; opaque workId=work-03d7687838b304cde377; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-03dd121b48927ce75496,ささめきこと,,いけだたかし,2007,unknown,unknown,unknown,Library-only candidate; opaque workId=work-03dd121b48927ce75496; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-03f8af97a21564c3601e,今日のユイコさん,,秀河 憲伸,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-03f8af97a21564c3601e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-041184453ad3e16aeb1a,不成仏霊童女,,花輪和一,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-041184453ad3e16aeb1a; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0461079c050fca066c4f,いいんちょ。,,秋風白雲,2008,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0461079c050fca066c4f; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-048a39f42bd18cb0823e,大東京トイボックス,,うめ,2007,unknown,unknown,unknown,Library-only candidate; opaque workId=work-048a39f42bd18cb0823e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0493a35083abd57f5a77,すべての人類を破壊する。それらは再生できない。,,横田 卓馬;伊瀬 勝良,2019,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0493a35083abd57f5a77; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-04ac6ddcf1c292ee38f9,LIMBO THE KING,,田中 相,2017,unknown,unknown,unknown,Library-only candidate; opaque workId=work-04ac6ddcf1c292ee38f9; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-04d912698ec64a30c2d7,悪魔を憐れむ歌,,梶本 レイカ,2017,unknown,unknown,unknown,Library-only candidate; opaque workId=work-04d912698ec64a30c2d7; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-04f35b4c99514d50231d,デトロイト・メタル・シティ,,若杉公徳,2006,unknown,unknown,unknown,Library-only candidate; opaque workId=work-04f35b4c99514d50231d; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-051ce38c242e92ec83d8,タオの城,,板倉梓,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-051ce38c242e92ec83d8; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-053e1e86adbd269cc07a,王子様と灰色の日々,,山中ヒコ,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-053e1e86adbd269cc07a; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-057321eada0f5983975e,金色のガッシュ!!,,雷句誠,2001,unknown,unknown,unknown,Library-only candidate; opaque workId=work-057321eada0f5983975e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-057e1cf849bf49fc1465,虫と歌 市川春子作品集,,市川 春子,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-057e1cf849bf49fc1465; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-05a1239f0ad4637650cd,タワーダンジョン,,弐瓶 勉,2024,unknown,unknown,unknown,Library-only candidate; opaque workId=work-05a1239f0ad4637650cd; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-05fd7a8974ddb2e3cbf0,ヒカルの碁,,ほったゆみ;小畑健,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-05fd7a8974ddb2e3cbf0; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-060a72fe10cf6ba9cbfc,チェーザレ 破壊の創造者,,惣領 冬実,2006,unknown,unknown,unknown,Library-only candidate; opaque workId=work-060a72fe10cf6ba9cbfc; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-064c0062e7a8e29cfbed,COSMOS,,田村 隆平,2023,unknown,unknown,unknown,Library-only candidate; opaque workId=work-064c0062e7a8e29cfbed; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-06f744cc857f52984b2d,チャンネルはそのまま！,,佐々木 倫子,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-06f744cc857f52984b2d; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-073f7f9dd8f3b5e07d29,おたくの娘さん,,すたひろ,2006,unknown,unknown,unknown,Library-only candidate; opaque workId=work-073f7f9dd8f3b5e07d29; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-074fc9c731ab475eaebe,この美術部には問題がある！,,いみぎむる,2013,unknown,unknown,unknown,Library-only candidate; opaque workId=work-074fc9c731ab475eaebe; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-07586346a94407eb03c8,君のことが大大大大大好きな100人の彼女,,野澤 ゆき子;中村 力斗,2020,unknown,unknown,unknown,Library-only candidate; opaque workId=work-07586346a94407eb03c8; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-076beb86f844b642beef,くーねるまるた,,高尾 じんぐ,2013,unknown,unknown,unknown,Library-only candidate; opaque workId=work-076beb86f844b642beef; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-07b11ec79f10c7eb7e05,かくかくしかじか,,東村アキコ,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-07b11ec79f10c7eb7e05; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,,水凪トリ,2020,unknown,unknown,unknown,Library-only candidate; opaque workId=work-07dc759bd91e1cffb2df; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-07e413fd6de80f21469d,戦国妖狐,,水上悟志,2008,unknown,unknown,unknown,Library-only candidate; opaque workId=work-07e413fd6de80f21469d; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-07faf4019b12de5e877d,私の少年,,高野 ひと深,2016,unknown,unknown,unknown,Library-only candidate; opaque workId=work-07faf4019b12de5e877d; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-07ff2a01ef593ce2f809,さよならミニスカート,,牧野 あおい,2018,unknown,unknown,unknown,Library-only candidate; opaque workId=work-07ff2a01ef593ce2f809; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-081e75d8bbc53ac64713,ダイヤモンドの功罪,,平井 大橋,2023,unknown,unknown,unknown,Library-only candidate; opaque workId=work-081e75d8bbc53ac64713; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-088bd94cfdd1dd6e192d,SPY×FAMILY,スパイファミリー,遠藤達哉,2019,unknown,unknown,ongoing,Matched existing Gold work spy-family by normalized title/alias + creator overlap.
candidate-08911847b618c8255b41,ローワライ,,雪野 朝哉,2026,unknown,unknown,unknown,Library-only candidate; opaque workId=work-08911847b618c8255b41; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-089947c5303024841fef,デカワンコ,,森本梢子,2008,unknown,unknown,unknown,Library-only candidate; opaque workId=work-089947c5303024841fef; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-08b79a6106a40f70e790,日本三國,,松木 いっか,2022,unknown,unknown,unknown,Library-only candidate; opaque workId=work-08b79a6106a40f70e790; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-090c010b942b581825db,見える子ちゃん,,泉朝樹,2018,unknown,unknown,ongoing,Matched existing Gold work mieruko-chan by normalized title/alias + creator overlap.
candidate-091d231d37f037fb07e8,インベスターZ,,三田紀房,2013,unknown,unknown,unknown,Library-only candidate; opaque workId=work-091d231d37f037fb07e8; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-094fec9e7639ddcbbc07,波よ聞いてくれ,,沙村広明,2014,unknown,unknown,ongoing,Matched existing Gold work wave-listen-to-me by normalized title/alias + creator overlap.
candidate-095c933ce9c1f7810f73,エンバンメイズ,,田中一行,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-095c933ce9c1f7810f73; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-096425144a79c2716b3e,どうぶつの国,,雷句誠,2010,unknown,unknown,unknown,Library-only candidate; opaque workId=work-096425144a79c2716b3e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-098b1781e14365eea667,うるわしの宵の月,,やまもり 三香,2020,unknown,unknown,unknown,Library-only candidate; opaque workId=work-098b1781e14365eea667; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-09ae4c1cbc4bff98eb1a,ぷらせぼくらぶ,,奥田亜紀子,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-09ae4c1cbc4bff98eb1a; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-09c2784da3afe6ab62ce,片桐くん家に猫がいる,,吉川景都,2010,unknown,unknown,unknown,Library-only candidate; opaque workId=work-09c2784da3afe6ab62ce; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0a72f4e304b688a6d9f0,彼方のアストラ,,篠原 健太,2016,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0a72f4e304b688a6d9f0; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0b358ab2fada71bc3c0f,僕のおとうさん,,アキヤマ香,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0b358ab2fada71bc3c0f; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0b6d8b3f1349e5048b8b,ボーイ×ミーツ×ガール,,ろびこ,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0b6d8b3f1349e5048b8b; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0b8f0f3bfc30d6da8ad0,ウツボラ,,中村明日美子,2010,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0b8f0f3bfc30d6da8ad0; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0b92afe0c01f8d4aae42,星旅少年,,坂月さかな,2022,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0b92afe0c01f8d4aae42; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0ba3547258320bf33dc3,ラキア,,Boichi;矢島正雄,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0ba3547258320bf33dc3; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0bbd8ef182853cb7845f,クールドジ男子,,那多ここね,2019,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0bbd8ef182853cb7845f; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0bd2d3b52ffff3a7ded4,看護助手のナナちゃん,,野村知紗,2011,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0bd2d3b52ffff3a7ded4; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0bec5d8d9474a2197312,放浪息子,,志村貴子,2003,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0bec5d8d9474a2197312; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0c0301626306f5624d27,Sunny Sunny Ann!,,山本美希,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0c0301626306f5624d27; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0cf463005cc77eeded8e,黄泉のツガイ,,荒川弘,2022,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0cf463005cc77eeded8e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0cf5c4d5df5b040deeba,ヴォイニッチホテル,,道満晴明,2010,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0cf5c4d5df5b040deeba; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0d10ae56716a82f0ae4e,ほしのうえでめぐる,,倉橋ユウス,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0d10ae56716a82f0ae4e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0d1ad77728a44df56508,ラーメン大好き小泉さん,,鳴見なる,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0d1ad77728a44df56508; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0d6c496878e276979e3c,ふたり鷹,,新谷かおる,1982,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0d6c496878e276979e3c; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0d894a02becb714986db,闇金ウシジマくん,,真鍋 昌平,2004,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0d894a02becb714986db; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0dabd1d17e5fcf2992b9,忘却のサチコ,,阿部 潤,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0dabd1d17e5fcf2992b9; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0dd1ceee981780c10491,誰かがカッコゥと啼く,,イダタツヒコ,2007,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0dd1ceee981780c10491; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0e036724913c69bb937a,ファイアパンチ,,藤本タツキ,2016,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0e036724913c69bb937a; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0e29e324e16f7d5cda41,仮スマ,,櫻井リヤ,2004,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0e29e324e16f7d5cda41; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0ebf010ac12b9b60d80e,機動旅団八福神,,福島 聡,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0ebf010ac12b9b60d80e; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0ede6921b81169dc2dda,不滅のあなたへ,,大今 良時,2017,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0ede6921b81169dc2dda; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0efbd1c37e95f5845317,いなかっぺ大将,,川崎のぼる,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0efbd1c37e95f5845317; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0eff8190c0c6ff604527,よるくも,,漆原 ミチ,2011,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0eff8190c0c6ff604527; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0f3a44f5dcab9623d1be,応天の門,,灰原薬,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0f3a44f5dcab9623d1be; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0f50eef4773267a0c1fa,でこぼこガーリッシュ,,原 鮎美,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0f50eef4773267a0c1fa; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0f6261e1019b8a8021b7,群青にサイレン,,桃栗みかん,2015,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0f6261e1019b8a8021b7; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0f790fe4cb2b3d2a8f34,大正學生愛妻家,,粥川 すず,2024,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0f790fe4cb2b3d2a8f34; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0fca8d7b1cfbd8102c01,桃源暗鬼,,漆原侑来,2020,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0fca8d7b1cfbd8102c01; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0fe64d3cc470022fd3b9,ストロボ・エッジ,,咲坂 伊緒,2007,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0fe64d3cc470022fd3b9; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1012948f5de799831da4,RED,,村枝賢一,1998,unknown,unknown,unknown,Library-only candidate; opaque workId=work-1012948f5de799831da4; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-10417d42e6e36614454b,がんばれ！キッカーズ,,ながいのりあき,1985,unknown,unknown,unknown,Library-only candidate; opaque workId=work-10417d42e6e36614454b; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1088a1dc00a3b0d22201,邪眼は月輪に飛ぶ,,藤田 和日郎,,unknown,unknown,unknown,Library-only candidate; opaque workId=work-1088a1dc00a3b0d22201; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-10ea8aa950d8d59958a8,うごかし屋,,芳崎せいむ,2008,unknown,unknown,unknown,Library-only candidate; opaque workId=work-10ea8aa950d8d59958a8; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-10f4cbd157b818a1f3ce,ファミレス行こ。,,和山 やま,2023,unknown,unknown,unknown,Library-only candidate; opaque workId=work-10f4cbd157b818a1f3ce; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1111080969feddae8a64,ただいまのうた,,ふじもとゆうき,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-1111080969feddae8a64; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-112589a161d1596ec97f,写らナイんです,,コノシマ ルカ,2024,unknown,unknown,unknown,Library-only candidate; opaque workId=work-112589a161d1596ec97f; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-11296a590b885cb73b66,透明なゆりかご,,沖田×華,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-11296a590b885cb73b66; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-118ebbabadf214274ac6,おんなのいえ,,鳥飼 茜,2013,unknown,unknown,unknown,Library-only candidate; opaque workId=work-118ebbabadf214274ac6; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-119459d8de20ac5f45bd,アクタージュ act-age,,宇佐崎 しろ;マツキ タツヤ,2018,unknown,unknown,unknown,Library-only candidate; opaque workId=work-119459d8de20ac5f45bd; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1194dc9f1d6f72a56dbd,はんだくん,,ヨシノサツキ,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-1194dc9f1d6f72a56dbd; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-11d23966f22f777e95d0,のらみみ,,原一雄,2003,unknown,unknown,unknown,Library-only candidate; opaque workId=work-11d23966f22f777e95d0; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-11f13ef455c9bc9d68b4,まくむすび,,保谷 伸,2019,unknown,unknown,unknown,Library-only candidate; opaque workId=work-11f13ef455c9bc9d68b4; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-11f7290fc68cdf9635aa,幻想ギネコクラシー,,沙村広明,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-11f7290fc68cdf9635aa; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1237a0e89a427c736fac,37.5℃の涙,,椎名チカ,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-1237a0e89a427c736fac; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-12a5eb9618886a507a6f,父とヒゲゴリラと私,,小池定路,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-12a5eb9618886a507a6f; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-12addce786ee4fbb6a2c,おじさまと猫,,桜井海,2018,unknown,unknown,unknown,Library-only candidate; opaque workId=work-12addce786ee4fbb6a2c; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-12b484cd79bfe6852ea1,高校球児 ザワさん,,三島衛里子,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-12b484cd79bfe6852ea1; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-12bb1c06ffe94f18421c,ウシハル,,ゴトウユキコ,2010,unknown,unknown,unknown,Library-only candidate; opaque workId=work-12bb1c06ffe94f18421c; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-12ced27e58dc3c8c1509,マンガで分かる心療内科,,ゆうきゆう;ソウ,2010,unknown,unknown,unknown,Library-only candidate; opaque workId=work-12ced27e58dc3c8c1509; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-131ba7a362fa9e38a10a,超巡！超条先輩,,沼 駿,2024,unknown,unknown,unknown,Library-only candidate; opaque workId=work-131ba7a362fa9e38a10a; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-132ce7172750a3b1fa53,ヒナまつり,,大武政夫,2011,unknown,unknown,unknown,Library-only candidate; opaque workId=work-132ce7172750a3b1fa53; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-136162000044f90dda04,踊る千年家族,,春日井 晶,2021,unknown,unknown,unknown,Library-only candidate; opaque workId=work-136162000044f90dda04; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-13ad51c176349c82367c,我間乱〜GAMARAN〜,,中丸洋介,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-13ad51c176349c82367c; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-13ed15a0d70ac2b2d0ef,七つの大罪,ナナツノタイザイ,鈴木央,2012,unknown,unknown,completed,Matched existing Gold work the-seven-deadly-sins by normalized title/alias + creator overlap.
candidate-1416d5a9fd062e979aef,はたらく細胞,,清水茜,2015,unknown,unknown,completed,Matched existing Gold work cells-at-work by normalized title/alias + creator overlap.
candidate-14b8108ece1a01311da8,鋼鉄の華っ柱,,西森博之,2011,unknown,unknown,unknown,Library-only candidate; opaque workId=work-14b8108ece1a01311da8; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-14e489bf1afd1587c44a,YAWARA！,,浦沢直樹,1986,unknown,unknown,unknown,Library-only candidate; opaque workId=work-14e489bf1afd1587c44a; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-14fcdce57f7824813075,てんむす,,稲山覚也,2011,unknown,unknown,unknown,Library-only candidate; opaque workId=work-14fcdce57f7824813075; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-151b456508f78852b002,ヨルムンガンド,,高橋 慶太郎,2006,unknown,unknown,unknown,Library-only candidate; opaque workId=work-151b456508f78852b002; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1550d4a52c3fe6d9f94c,ボクラノキセキ,,久米田夏緒,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-1550d4a52c3fe6d9f94c; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-1563438b7ccf15a48ffe,モブサイコ100,モブサイコヒャク,ONE,2012,unknown,unknown,completed,Matched existing Gold work mob-psycho-100 by normalized title/alias + creator overlap.
candidate-159ec8fd998859ffac85,嫁姑の拳Ｚ,,函岬誉,2012,unknown,unknown,unknown,Library-only candidate; opaque workId=work-159ec8fd998859ffac85; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
