sourceItemId,sourceId,sourceRowNumber,rawPublicationClass,rawTitle,rawCreator,rawMainGenre,rawSubgenre,rawRating,rawNotes,rawUpdatedAt
dc-monthly-comics-recommendations-2020-0038,dc-monthly-comics-recommendations-2020,38,0.정발,가브릴 드롭아웃,우카미,코믹,"일상,드라마틱 판타지",B,,2021-03-16
dc-monthly-comics-recommendations-2020-0039,dc-monthly-comics-recommendations-2020,39,0.정발,가지,구로다 이오우,드라마,,S,,2021-02-22
dc-monthly-comics-recommendations-2020-0040,dc-monthly-comics-recommendations-2020,40,0.정발,간츠 Gantz,오쿠 히로야,SF,가상사회/19금/액션/고어,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0041,dc-monthly-comics-recommendations-2020,41,0.정발,갇힌 네르갈,아루마 루미,판타지,코믹,B,,2021-02-05
dc-monthly-comics-recommendations-2020-0042,dc-monthly-comics-recommendations-2020,42,0.정발,갈채,김영숙,순정,틴에이지 순정,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0043,dc-monthly-comics-recommendations-2020,43,2.비정발,감옥학원 [방뇨/육덕/조교/씹덕] B+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0044,dc-monthly-comics-recommendations-2020,44,0.정발,강철의 연금술사,아라카와 히로무,소년,액션 판타지,S+,,2013-08-23
dc-monthly-comics-recommendations-2020-0045,dc-monthly-comics-recommendations-2020,45,0.정발,강특고 아이들,김민희,코믹,순정/학원/초능력,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0046,dc-monthly-comics-recommendations-2020,46,0.정발,강호패도기,최미르,무협,액션,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0047,dc-monthly-comics-recommendations-2020,47,0.정발,개 고양이 점프,하토리 미츠루,드라마,코믹/일상/스포츠,A,멀리뛰기,2013-08-23
dc-monthly-comics-recommendations-2020-0048,dc-monthly-comics-recommendations-2020,48,0.정발,개구리 하사 케로로,요시자키 미네,코믹,비일상,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0049,dc-monthly-comics-recommendations-2020,49,0.정발,개그만화 보기 좋은날,마스다 코스케,코믹,,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0050,dc-monthly-comics-recommendations-2020,50,0.정발,개수일촉!,시키시로 코노미,러브코미디,성인,B,,2021-02-23
dc-monthly-comics-recommendations-2020-0051,dc-monthly-comics-recommendations-2020,51,0.정발,갤러리 페이크,호소노 후지히코,미술,추리,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0052,dc-monthly-comics-recommendations-2020,52,0.정발,거침없이 한 획!,카와이 카츠토시,드라마,성장,S,서예 / 정발 끊김,2013-08-23
dc-monthly-comics-recommendations-2020-0053,dc-monthly-comics-recommendations-2020,53,2.비정발,건 클로버 [총기/액션/씹덕/초능력] B급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0054,dc-monthly-comics-recommendations-2020,54,0.정발,건강 전라계 수영부 우미GO!,하토리 미츠루,스포츠,학원/코믹/수영,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0055,dc-monthly-comics-recommendations-2020,55,0.정발,건달군과 안경양,요시카와 미키,학원,코믹,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0056,dc-monthly-comics-recommendations-2020,56,0.정발,건방진 천사,니시모리 히로유키,코미디,드라마틱 판타지,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0057,dc-monthly-comics-recommendations-2020,57,0.정발,건스미스 캣츠,소노다 켄이치,액션,성인/총기,A,"2부 버스트, 신장판은 비검열",2013-08-23
dc-monthly-comics-recommendations-2020-0058,dc-monthly-comics-recommendations-2020,58,0.정발,건슬링거 걸 Gunslinger Girl,아이다 유,SF,페도,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0059,dc-monthly-comics-recommendations-2020,59,2.비정발,건어물여동생 우마루쨩 [씹덕/여동생/건어물녀] B+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0060,dc-monthly-comics-recommendations-2020,60,0.정발,걸 프렌드,호카조노 마사야,드라마,성인,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0061,dc-monthly-comics-recommendations-2020,61,0.정발,걸즈 사우르스,쿠스노키 케이,러브코미디,,B,2부 DX,2013-08-23
dc-monthly-comics-recommendations-2020-0062,dc-monthly-comics-recommendations-2020,62,0.정발,검용전설 야이바,아오야마 고쇼,소년,액션 판타지,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0063,dc-monthly-comics-recommendations-2020,63,0.정발,검은 사기,나츠하라 타케시,프로의 세계,,A,사기꾼,2013-08-23
dc-monthly-comics-recommendations-2020-0064,dc-monthly-comics-recommendations-2020,64,0.정발,검은 사기 제2부 (신 검은 사기),나츠하라 타케시,프로의 세계,,A,사기꾼,2021-04-17
dc-monthly-comics-recommendations-2020-0065,dc-monthly-comics-recommendations-2020,65,0.정발,겁쟁이 페달,와타나베 와타루,스포츠,,S,자전거 레이싱,2013-08-23
dc-monthly-comics-recommendations-2020-0066,dc-monthly-comics-recommendations-2020,66,0.정발,겁쟁이 페달 SPARE BIKE,와타나베 와타루,스포츠,,A,자전거 레이싱,2021-04-17
dc-monthly-comics-recommendations-2020-0067,dc-monthly-comics-recommendations-2020,67,0.정발,게게게의 기타로,미즈키 시게루,공포,요괴,S,중고 되팔이들 조심,2013-08-23
dc-monthly-comics-recommendations-2020-0068,dc-monthly-comics-recommendations-2020,68,0.정발,게이머즈!,아오이 세키나,러브코미디,,B,,2021-02-04
dc-monthly-comics-recommendations-2020-0069,dc-monthly-comics-recommendations-2020,69,0.정발,게임방 손님과 어머니,기선,순정,코믹,C,,2013-08-23
dc-monthly-comics-recommendations-2020-0070,dc-monthly-comics-recommendations-2020,70,0.정발,겨울이야기,하라 히데노리,드라마,청춘,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0071,dc-monthly-comics-recommendations-2020,71,0.정발,견신,호카조노 마사야,SF,성인,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0072,dc-monthly-comics-recommendations-2020,72,0.정발,결계사,타나베 옐로우,소년,요괴,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0073,dc-monthly-comics-recommendations-2020,73,0.정발,결박전문 미소녀,타케우치 미쿠,순정,드라마틱 판타지/스릴러,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0074,dc-monthly-comics-recommendations-2020,74,0.정발,결혼적령기,이케다 사토미,순정,드라마/가족,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0075,dc-monthly-comics-recommendations-2020,75,2.비정발,경녀!!!!!!!!,소라요미 다이치,액션,,A,유사 스포츠,2021-11-14
dc-monthly-comics-recommendations-2020-0076,dc-monthly-comics-recommendations-2020,76,0.정발,경사청24시,오와다 히데키,코믹,열혈/경찰,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0077,dc-monthly-comics-recommendations-2020,77,0.정발,경정소녀,코이즈미 야스히로,스포츠,,B,경정,2013-08-23
dc-monthly-comics-recommendations-2020-0078,dc-monthly-comics-recommendations-2020,78,0.정발,고! 고! 헤븐! 자결소녀대,오바라 신지,순정,틴에이지 순정,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0079,dc-monthly-comics-recommendations-2020,79,0.정발,고고한 사람,사카모토 신이치,스포츠,,A,등산,2013-08-23
dc-monthly-comics-recommendations-2020-0080,dc-monthly-comics-recommendations-2020,80,0.정발,고래가족 이야기,쿠리타 리쿠,순정,가족,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0081,dc-monthly-comics-recommendations-2020,81,2.비정발,고로시야 이치 [살인/폭력/강간/성인/SM/고어] A급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0082,dc-monthly-comics-recommendations-2020,82,0.정발,고르고13,사이오 타카오,프로의 세계,,B,암살자 / 정발 끊김,2013-08-23
dc-monthly-comics-recommendations-2020-0083,dc-monthly-comics-recommendations-2020,83,0.정발,고릴라 맨,해롤드 사쿠이시,폭력,청춘,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0084,dc-monthly-comics-recommendations-2020,84,0.정발,"고마워, 타이츠!",Grande,러브코미디,,C,왜곡된 성욕,2021-05-30
dc-monthly-comics-recommendations-2020-0085,dc-monthly-comics-recommendations-2020,85,0.정발,고물 로봇 퐁코,야타레 케이타,일상,드라마/코미디,B,,2021-10-31
dc-monthly-comics-recommendations-2020-0086,dc-monthly-comics-recommendations-2020,86,0.정발,고바야시네 메이드래곤,쿨교신자,일상,드라마틱 판타지,A,,2021-01-14
dc-monthly-comics-recommendations-2020-0087,dc-monthly-comics-recommendations-2020,87,0.정발,고성소의 슈베스터,타케요시 미노루,시대물,액션/복수/탈출,A,,2021-01-18
dc-monthly-comics-recommendations-2020-0088,dc-monthly-comics-recommendations-2020,88,0.정발,고스트 바둑왕(히카루의 바둑),오바타 타케시,소년,성장/스포츠,S+,바둑,2013-08-23
dc-monthly-comics-recommendations-2020-0089,dc-monthly-comics-recommendations-2020,89,0.정발,고스트 스위퍼 - GS 미카미 극락대작전!!,시이나 타카시,코믹,액션 판타지,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0090,dc-monthly-comics-recommendations-2020,90,0.정발,고스트 헌트,이나다 시호,순정,호러/퇴마,A,오노 후유미 글작가,2013-08-23
dc-monthly-comics-recommendations-2020-0091,dc-monthly-comics-recommendations-2020,91,3.단편(정발),고양이 동네,이와오카 히사에,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0092,dc-monthly-comics-recommendations-2020,92,0.정발,고양이 화가 주베의 기묘한 이야기,나가오 마루,드라마,드라마틱 판타지,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0093,dc-monthly-comics-recommendations-2020,93,0.정발,고양이의 왕,토시히로 오노,드라마틱 판타지,변신/노출,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0094,dc-monthly-comics-recommendations-2020,94,4.단편(미정발),고저스 아이린,아라키 히로히코,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0095,dc-monthly-comics-recommendations-2020,95,0.정발,고키챠,루이 타마치,비일상,일상,B,바퀴벌레 모애화,2013-08-23
dc-monthly-comics-recommendations-2020-0096,dc-monthly-comics-recommendations-2020,96,0.정발,곤,마사시 타나카,동물,일상,A,철권3 콜라보 캐릭터,2013-08-23
dc-monthly-comics-recommendations-2020-0097,dc-monthly-comics-recommendations-2020,97,0.정발,골때리는 연극부,타카하시 유타카,코믹,명량,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0098,dc-monthly-comics-recommendations-2020,98,0.정발,골목길연가,아소우 미코토,순정,성장,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0099,dc-monthly-comics-recommendations-2020,99,0.정발,골프천재 탄도,사카타 노부히로,스포츠,소년,A,"Xi,Next Generation  후속편",2013-08-23
dc-monthly-comics-recommendations-2020-0100,dc-monthly-comics-recommendations-2020,100,0.정발,곰 곰 곰 베어,세르게이,이세계,먼치킨,C,,2021-03-02
dc-monthly-comics-recommendations-2020-0101,dc-monthly-comics-recommendations-2020,101,0.정발,공각기동대 -THE GHOST IN THE SHELL- ,시로 마사무네,SF,가상사회,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0102,dc-monthly-comics-recommendations-2020,102,0.정발,공작왕,오기노 마코토,액션 판타지,성인,A,"2부 퇴마성전, 3부 곡신기
후속편 망함",2013-08-23
dc-monthly-comics-recommendations-2020-0103,dc-monthly-comics-recommendations-2020,103,0.정발,공태랑 나가신다,타츠야 하루타,코미디,액션,S,"2부 신 공태랑 나가신다
3부 공태랑 나가신다L(연중)",2013-08-23
dc-monthly-comics-recommendations-2020-0104,dc-monthly-comics-recommendations-2020,104,0.정발,공포의 관 호러시리즈,"코지마 미야코
오노 후타바",공포,,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0105,dc-monthly-comics-recommendations-2020,105,0.정발,공포의 외인구단,이현세,야구,액션,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0106,dc-monthly-comics-recommendations-2020,106,4.단편(미정발),공포증박사,타카하시 요우스케,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0107,dc-monthly-comics-recommendations-2020,107,0.정발,공포학교,타카하시 요우스케,공포,학원,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0108,dc-monthly-comics-recommendations-2020,108,0.정발,괴도 세인트 테일,타치카와 메구미,순정,마법,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0109,dc-monthly-comics-recommendations-2020,109,0.정발,"괴롭히지 말아요, 나가토로 양",나나시,러브코미디,,B,,2021-04-17
dc-monthly-comics-recommendations-2020-0110,dc-monthly-comics-recommendations-2020,110,0.정발,괴물왕녀,미츠나가 야스노리,드라마틱 판타지,,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0111,dc-monthly-comics-recommendations-2020,111,0.정발,괴수 8호,마츠모토 나오야,소년,액션,S,,2021-05-09
dc-monthly-comics-recommendations-2020-0112,dc-monthly-comics-recommendations-2020,112,0.정발,괴수 도마뱀,후쿠치 카미오,일상,드라마틱 판타지,B,야마모토 소이치로 글,2021-03-02
dc-monthly-comics-recommendations-2020-0113,dc-monthly-comics-recommendations-2020,113,0.정발,괴수 소녀 테일,F4U,일상,SF,C,,2013-08-23
dc-monthly-comics-recommendations-2020-0114,dc-monthly-comics-recommendations-2020,114,0.정발,괴짜 학교,사쿠라이 노리오,코믹,폭력,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0115,dc-monthly-comics-recommendations-2020,115,0.정발,"괴짜가족(우당탕탕, 원조!, 언제나! 원조,  장하다! 원조)",하마오카 켄지,개그,,A,4부 연재중,2013-08-23
dc-monthly-comics-recommendations-2020-0116,dc-monthly-comics-recommendations-2020,116,0.정발,교과서엔 없어,오카다 카즈토,러브코미디,학원/성인,A,선생과 제자,2013-08-23
dc-monthly-comics-recommendations-2020-0117,dc-monthly-comics-recommendations-2020,117,0.정발,교도관 나오키,고다 마모라,드라마,,A,"감옥, 죄수/교도관",2013-08-23
dc-monthly-comics-recommendations-2020-0118,dc-monthly-comics-recommendations-2020,118,2.비정발,교사 뒷편에는 천사가 묻혀져 있다 [막장/왕따물/잔혹] B+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0119,dc-monthly-comics-recommendations-2020,119,0.정발,구구레! 코쿠리씨,엔도 미도리,코믹,비일상,B,,2021-09-05
dc-monthly-comics-recommendations-2020-0120,dc-monthly-comics-recommendations-2020,120,0.정발,구제인,아사카와 케이지,이세계,,B,,2021-02-04
dc-monthly-comics-recommendations-2020-0121,dc-monthly-comics-recommendations-2020,121,0.정발,국수집딸 업어치기!!,키쿠치 쇼타,스포츠,드라마,A,여자 유도,2013-08-23
dc-monthly-comics-recommendations-2020-0122,dc-monthly-comics-recommendations-2020,122,0.정발,군계,타나카 아키오,액션,드라마,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0123,dc-monthly-comics-recommendations-2020,123,0.정발,군청학사,이리에 아키,순정,드라마틱 판타지,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0124,dc-monthly-comics-recommendations-2020,124,0.정발,굿모닝 고스트,호시사토 모치루,드라마,힐링/불륜,A,재편집판 추가 발매,2013-08-23
dc-monthly-comics-recommendations-2020-0125,dc-monthly-comics-recommendations-2020,125,0.정발,굿모닝 보스,김진태,코믹,명량,A,웹툰으로 리메이크,2013-08-23
dc-monthly-comics-recommendations-2020-0126,dc-monthly-comics-recommendations-2020,126,0.정발,굿모닝 티쳐,서영웅,드라마,학원,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0127,dc-monthly-comics-recommendations-2020,127,0.정발,궁,박소희,순정,틴에이지 순정,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0128,dc-monthly-comics-recommendations-2020,128,0.정발,권노사투전 세스타스,와자라이 시즈야,액션,,A,세스타스 2부,2021-04-25
dc-monthly-comics-recommendations-2020-0129,dc-monthly-comics-recommendations-2020,129,0.정발,권신,마츠모리 타다시,스포츠,성인,A,코이케 카즈오 글,2013-08-23
dc-monthly-comics-recommendations-2020-0130,dc-monthly-comics-recommendations-2020,130,0.정발,권투암흑전 세스타스,와자라이 시즈야,액션,,A,세스타스 1부,2013-08-23
dc-monthly-comics-recommendations-2020-0131,dc-monthly-comics-recommendations-2020,131,0.정발,귀멸의 칼날,고토우게 코요하루,소년,액션/시대물/다크 판타지,S,,2021-01-05
dc-monthly-comics-recommendations-2020-0132,dc-monthly-comics-recommendations-2020,132,0.정발,귀여우면 변태라도 좋아해 주실 수 있나요?,ChuN,러브코미디,성인,B,,2021-02-25
dc-monthly-comics-recommendations-2020-0133,dc-monthly-comics-recommendations-2020,133,0.정발,귀절도,쿠스노키 케이,호러,스릴러,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0134,dc-monthly-comics-recommendations-2020,134,0.정발,그 비스크 돌은 사랑을 한다,후쿠다 신이치,러브코미디,코스프레,S,,2021-04-17
dc-monthly-comics-recommendations-2020-0135,dc-monthly-comics-recommendations-2020,135,0.정발,그=그녀,킨다이치 렌쥬로,드라마,코믹/여장,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0136,dc-monthly-comics-recommendations-2020,136,0.정발,그남자 그여자,츠다 마사미,순정,드라마,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0137,dc-monthly-comics-recommendations-2020,137,0.정발,그녀가 공작저로 가야 했던 사정,고래,웹툰,이세계,A,이세계 전이,2021-03-26
dc-monthly-comics-recommendations-2020-0138,dc-monthly-comics-recommendations-2020,138,2.비정발,그녀는 관능소설가 [성인] B+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0139,dc-monthly-comics-recommendations-2020,139,2.비정발,그녀도 여친,히로유키,코믹,학원,A,,2021-01-16
dc-monthly-comics-recommendations-2020-0140,dc-monthly-comics-recommendations-2020,140,0.정발,그라제니,아다치 케이지,스포츠,,S,1부 완,2013-08-23
dc-monthly-comics-recommendations-2020-0141,dc-monthly-comics-recommendations-2020,141,0.정발,그랑로바,시토우 쿄코,판타지,서사/순정,A,변경경비 세계관,2013-08-23
dc-monthly-comics-recommendations-2020-0142,dc-monthly-comics-recommendations-2020,142,0.정발,그랑블루,요시오카 키미타케,코믹,청춘,S,,2021-03-16
dc-monthly-comics-recommendations-2020-0143,dc-monthly-comics-recommendations-2020,143,0.정발,그래도 마을은 돌아간다,이시구로 마사카즈,일상,코믹,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0144,dc-monthly-comics-recommendations-2020,144,0.정발,그러니까 사랑이라고 하지마,후지와라 요시코,순정,,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0145,dc-monthly-comics-recommendations-2020,145,0.정발,그렌델,오이카와 미코,판타지,액션,B,용 나옴,2020-12-30
dc-monthly-comics-recommendations-2020-0146,dc-monthly-comics-recommendations-2020,146,0.정발,그루밍 업,유키 마사미,드라마,스포츠,A,경마,2013-08-23
dc-monthly-comics-recommendations-2020-0147,dc-monthly-comics-recommendations-2020,147,0.정발,그리고 또 그리고,히가시무라 아키코,드라마,자전만화,A,,2021-01-15
dc-monthly-comics-recommendations-2020-0148,dc-monthly-comics-recommendations-2020,148,0.정발,그린힐,후루야 미노루,코믹,명량,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0149,dc-monthly-comics-recommendations-2020,149,0.정발,그애에게 받은 음악,카츠타 분,순정,,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0150,dc-monthly-comics-recommendations-2020,150,0.정발,그와 나의 연애사정,아마노 시로,순정,,B,,2021-01-22
dc-monthly-comics-recommendations-2020-0151,dc-monthly-comics-recommendations-2020,151,0.정발,극동학원천국,니혼바시 요코,학원,액션,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0152,dc-monthly-comics-recommendations-2020,152,0.정발,극락사과군,하야시 마사유키,코믹,초월개그,B,호불호 매우 심함,2013-08-23
dc-monthly-comics-recommendations-2020-0153,dc-monthly-comics-recommendations-2020,153,0.정발,극락청춘하키부,모리나가 아이,순정,역하렘/스포츠,B,하키,2013-08-23
dc-monthly-comics-recommendations-2020-0154,dc-monthly-comics-recommendations-2020,154,0.정발,극한의 별,야마다 요시히로,SF,가상사회/우주,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0155,dc-monthly-comics-recommendations-2020,155,2.비정발,극흑의 브륜힐데 [절망/능배물] A급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0156,dc-monthly-comics-recommendations-2020,156,0.정발,근육맨,유데타 마고,액션,코믹,A,"근육맨 2세,
신 근육맨 비정발",2013-08-23
dc-monthly-comics-recommendations-2020-0157,dc-monthly-comics-recommendations-2020,157,2.비정발,글러먹은 신부 일기 [치유/신혼] A+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0158,dc-monthly-comics-recommendations-2020,158,0.정발,금색의 갓슈,라이쿠 마코토,소년,액션 판타지/능력배틀,S,"신장판,완전판 추가 발매",2013-08-23
dc-monthly-comics-recommendations-2020-0159,dc-monthly-comics-recommendations-2020,159,0.정발,금지소년,임진주,러브코미디,TS,C,여장남자,2013-08-23
dc-monthly-comics-recommendations-2020-0160,dc-monthly-comics-recommendations-2020,160,0.정발,기동경찰 패트레이버,유우키 마사미,메카닉,SF,S,애장판 추가 발매,2013-08-23
dc-monthly-comics-recommendations-2020-0161,dc-monthly-comics-recommendations-2020,161,2.비정발,기동전사 건담 전기 [SF/액션] B+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0162,dc-monthly-comics-recommendations-2020,162,0.정발,기린관 그래피티,요시무라 아케미,순정,,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0163,dc-monthly-comics-recommendations-2020,163,0.정발,기믹,야부구치 쿠로코,액션,,B,특수분장(SFX) ,2013-08-23
dc-monthly-comics-recommendations-2020-0164,dc-monthly-comics-recommendations-2020,164,0.정발,기생수,이와아키 히토시,호러,드라마/SF,S+,애장판 추가 발매,2013-08-23
dc-monthly-comics-recommendations-2020-0165,dc-monthly-comics-recommendations-2020,165,0.정발,기생폭탄,하야세 준,추리,SF,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0166,dc-monthly-comics-recommendations-2020,166,4.단편(미정발),길동자,타카하시 요우스케,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0167,dc-monthly-comics-recommendations-2020,167,0.정발,깨끗하게 해주시겠어요?,하토리 미츠루,드라마,일상,A,,2021-09-12
dc-monthly-comics-recommendations-2020-0168,dc-monthly-comics-recommendations-2020,168,0.정발,깨끗하고 연약한,이쿠에미 료,순정,학원,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0169,dc-monthly-comics-recommendations-2020,169,0.정발,꼬마마녀 롯데,야마구치 미유키,순정,드라마틱 판타지,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0170,dc-monthly-comics-recommendations-2020,170,0.정발,꼬마마녀 토르테,콘도 루루루,드라마틱 판타지,코믹,A,꼬마마녀 토르테x3(미정발),2013-08-23
dc-monthly-comics-recommendations-2020-0171,dc-monthly-comics-recommendations-2020,171,2.비정발,꼬마마녀 토르테X3 [마법/페도/코미디] B급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0172,dc-monthly-comics-recommendations-2020,172,0.정발,꼭두각시 서커스,후지타 카즈히로,액션,SF,S+,,2013-08-23
