workId,candidateId,canonicalTitleJa,creatorsJa,decisionKind,currentIsbn,auditedIsbn,proof,corroboratingIsbn
work-d768ebe57013e12e6e6e,candidate-d768ebe57013e12e6e6e,食の軍師,泉昌之,volume-one-correction,9784537127072,9784537127072,unnumbered-first-via-volume-2,9784537129502
work-db48ea2327eb5a3ddc09,candidate-db48ea2327eb5a3ddc09,チーズスイートホーム,こなみ かなた,isbn-replacement,9784063720501,9784063349436,explicit-volume-1,
work-db4a0ec451d7f4ffd8b8,candidate-db4a0ec451d7f4ffd8b8,万福児,下吉田本郷,volume-one-correction,9784088653457,9784088653457,unnumbered-first-via-volume-2,9784088653808
work-dcecba11b11a017b0769,candidate-dcecba11b11a017b0769,片喰と黄金,北野 詠一,volume-one-correction,9784088913032,9784088913032,unnumbered-first-via-volume-2,9784088914497
work-de0d02d31acb2fc61560,candidate-de0d02d31acb2fc61560,姉なるもの,飯田 ぽち。,volume-one-correction,9784048924771,9784048924771,attached-volume-1,
work-df0b741309f3b8cce8fc,candidate-df0b741309f3b8cce8fc,僕らはみんな死んでいる,きら,isbn-replacement,9784088656656,9784088656052,explicit-volume-1,
work-e3b284d0d5dbc4382472,candidate-e3b284d0d5dbc4382472,乙女戦争 ディーヴチー・ヴァールカ,大西巷一,isbn-replacement,9784575847109,9784575843323,explicit-volume-1,
work-e5a246728eaa431e66aa,candidate-e5a246728eaa431e66aa,マチキネマ,サメマチオ,volume-one-correction,9784776795650,9784776795650,unnumbered-first-via-volume-2,9784776796190
work-e7c99b3b140c24e6d723,candidate-e7c99b3b140c24e6d723,おしゃべりは、朝ごはんのあとで。,秀 良子,volume-one-correction,9784091855275,9784091855275,unnumbered-first-via-volume-2,9784091874733
work-e8d29ca977ebb296d54b,candidate-e8d29ca977ebb296d54b,オトメン（乙男）,菅野文,isbn-replacement,9784592192244,9784592184140,explicit-volume-1,
work-ef1bdac46a0956a87f7f,candidate-ef1bdac46a0956a87f7f,タコピーの原罪,タイザン5,volume-one-correction,9784088830490,9784088830490,upper-first-part,
work-efbed1783d3de246e757,candidate-efbed1783d3de246e757,30センチスター,北野詠一,isbn-replacement,9784063952049,9784063950434,explicit-volume-1,
work-efd65d585d5af4191482,candidate-efd65d585d5af4191482,百日の薔薇,稲荷家房之介,volume-one-correction,9784775506226,9784775506226,unnumbered-first-via-volume-2,9784775509555
work-f0f53d813f709aedec1d,candidate-f0f53d813f709aedec1d,ホークウッド,トミイ 大塚,volume-one-correction,9784040665689,9784040665689,unnumbered-first-via-volume-2,9784840144865
work-f3ec9e796f983f6c5b17,candidate-f3ec9e796f983f6c5b17,パチスロバカップル,七瀬あゆむ,isbn-replacement,9784861911033,9784893678973,explicit-volume-1,
work-fb89f119251610cf1648,candidate-fb89f119251610cf1648,1/11 じゅういちぶんのいち,中村尚儁,isbn-replacement,9784088704883,9784088701615,explicit-volume-1,
